"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"2026/04/02","木","2026/04/02 17:07:00","2026/04/02 21:04:24","7","56000","7","コース","コース","00000004205:歓送迎会コース飲み放題","","8000","1","2026/04/02 18:15:58","20:配膳済"
"2026/04/02","木","2026/04/02 17:07:00","2026/04/02 21:04:24","7","56000","7","コース","コース","00000004205:歓送迎会コース飲み放題","","8000","1","2026/04/02 18:15:58","20:配膳済"
"2026/04/02","木","2026/04/02 17:07:00","2026/04/02 21:04:24","7","56000","7","コース","コース","00000004205:歓送迎会コース飲み放題","","8000","1","2026/04/02 18:15:58","20:配膳済"
"2026/04/02","木","2026/04/02 17:07:00","2026/04/02 21:04:24","7","56000","7","コース","コース","00000004205:歓送迎会コース飲み放題","","8000","1","2026/04/02 18:15:58","20:配膳済"
"2026/04/02","木","2026/04/02 17:07:00","2026/04/02 21:04:24","7","56000","7","コース","コース","00000004205:歓送迎会コース飲み放題","","8000","1","2026/04/02 18:15:58","20:配膳済"
"2026/04/02","木","2026/04/02 17:51:05","2026/04/02 21:07:23","0","14400","3","ウーバーイーツ","鰻料理","00000004085:uberうな重竹","","6500","1","2026/04/02 17:51:25","20:配膳済"
"2026/04/02","木","2026/04/02 17:51:05","2026/04/02 21:07:23","0","14400","3","ウーバーイーツ","鰻料理","00000004085:uberうな重竹","","6500","1","2026/04/02 17:51:25","20:配膳済"
"2026/04/02","木","2026/04/02 17:51:05","2026/04/02 21:07:23","0","14400","3","ウーバーイーツ","揚げ物","00000004105:uberたこの唐揚げ","","1400","1","2026/04/02 17:51:25","20:配膳済"
"2026/04/02","木","2026/04/02 18:25:41","2026/04/02 21:07:42","0","7450","4","ウーバーイーツ","鰻料理","00000004085:uberうな重竹","","6500","1","2026/04/02 18:25:41","20:配膳済"
"2026/04/02","木","2026/04/02 18:25:41","2026/04/02 21:07:42","0","7450","4","ウーバーイーツ","鰻料理","00000004092:uber大盛り","","200","1","2026/04/02 18:25:41","20:配膳済"
"2026/04/02","木","2026/04/02 18:25:41","2026/04/02 21:07:42","0","7450","4","ウーバーイーツ","鰻料理","00000004090:uber肝焼き","","750","1","2026/04/02 18:25:41","20:配膳済"
"2026/04/02","木","2026/04/02 18:25:41","2026/04/02 21:07:42","0","7450","4","ウーバーイーツ","鰻料理","00000004091:uber肝焼きプロモーション","","0","1","2026/04/02 18:25:41","20:配膳済"
"2026/04/02","木","2026/04/02 18:51:59","2026/04/02 21:07:58","0","2100","2","ウーバーイーツ","お弁当","00000004072:uber生姜焼き弁当","","1900","1","2026/04/02 18:51:59","20:配膳済"
"2026/04/02","木","2026/04/02 18:51:59","2026/04/02 21:07:58","0","2100","2","ウーバーイーツ","鰻料理","00000004092:uber大盛り","","200","1","2026/04/02 18:51:59","20:配膳済"
"2026/04/02","木","2026/04/02 19:10:16","2026/04/02 21:08:27","0","5000","2","出前館","鰻料理","00000004380:出前館うな重梅","","4400","1","2026/04/02 19:10:39","20:配膳済"
"2026/04/02","木","2026/04/02 19:10:16","2026/04/02 21:08:27","0","5000","2","出前館","一品料理","00000004405:出前館白菜のお新香","","600","1","2026/04/02 19:10:39","20:配膳済"
"2026/04/02","木","2026/04/02 20:25:22","2026/04/02 21:08:51","0","6500","1","ウーバーイーツ","鰻料理","00000004085:uberうな重竹","","6500","1","2026/04/02 20:25:34","20:配膳済"
"2026/04/03","金","2026/04/03 11:33:20","2026/04/03 13:59:10","0","8450","2","ウーバーイーツ","鰻料理","00000004084:uberうな重松","","7700","1","2026/04/03 11:33:20","20:配膳済"
"2026/04/03","金","2026/04/03 11:33:20","2026/04/03 13:59:10","0","8450","2","ウーバーイーツ","鰻料理","00000004090:uber肝焼き","","750","1","2026/04/03 11:33:20","20:配膳済"
"2026/04/03","金","2026/04/03 11:49:46","2026/04/03 12:32:50","3","3300","3","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","1","2026/04/03 11:52:26","20:配膳済"
"2026/04/03","金","2026/04/03 11:49:46","2026/04/03 12:32:50","3","3300","3","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 並盛x1","1100","1","2026/04/03 11:52:26","20:配膳済"
"2026/04/03","金","2026/04/03 11:49:46","2026/04/03 12:32:50","3","3300","3","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 並盛x1","1100","1","2026/04/03 11:52:26","20:配膳済"
"2026/04/03","金","2026/04/03 11:50:36","2026/04/03 12:05:27","1","0","0","","","","","0","1"," ",""
"2026/04/03","金","2026/04/03 11:53:04","2026/04/03 13:59:23","0","4400","1","ウーバーイーツ","鰻料理","00000004086:uberうな重梅","","4400","1","2026/04/03 11:53:04","20:配膳済"
"2026/04/03","金","2026/04/03 12:01:03","2026/04/03 12:51:08","5","12390","10","ランチ","ランチ","00000003820:鰻玉丼定食","大盛りx1","2750","1","2026/04/03 12:05:13","20:配膳済"
"2026/04/03","金","2026/04/03 12:01:03","2026/04/03 12:51:08","5","12390","10","ランチ","ランチ","00000004029:カキフライ定食","並盛x1","1800","1","2026/04/03 12:05:13","20:配膳済"
"2026/04/03","金","2026/04/03 12:01:03","2026/04/03 12:51:08","5","12390","10","ランチ","ランチ","00000004034:穴子天丼定食","少なめx1","1500","1","2026/04/03 12:05:13","20:配膳済"
"2026/04/03","金","2026/04/03 12:01:03","2026/04/03 12:51:08","5","12390","10","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/04/03 12:05:13","20:配膳済"
"2026/04/03","金","2026/04/03 12:01:03","2026/04/03 12:51:08","5","12390","10","ランチ","ランチ","00000004030:お刺身定食","並盛x1","1800","1","2026/04/03 12:05:13","20:配膳済"
"2026/04/03","金","2026/04/03 12:01:03","2026/04/03 12:51:08","5","12390","10","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/04/03 12:08:13","20:配膳済"
