"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.サブメニュー","D.価格","D.オーダー日時","D.数量","D.オーダーステータス","D.商品"
"No:202500100007278","2026/02/16","月","2026/02/16 12:30:28","2026/02/16 13:14:43","2","5100","2","ランチ","ランチ","並盛x1","3300","2026/02/16 12:31:07","1","20:配膳済","00000002567:うな重 梅 定食"
"No:202500100007278","2026/02/16","月","2026/02/16 12:30:28","2026/02/16 13:14:43","2","5100","2","ランチ","ランチ","並盛x1","0","2026/02/16 12:30:28","0","30:キャンセル済","00000003820:鰻玉丼定食"
"No:202500100007278","2026/02/16","月","2026/02/16 12:30:28","2026/02/16 13:14:43","2","5100","2","ランチ","ランチ","並盛x1","1800","2026/02/16 12:30:28","1","20:配膳済","00000004031:とんかつ定食"
"No:202500100007278","2026/02/16","月","2026/02/16 12:30:28","2026/02/16 13:14:23","2","3300","1","ランチ","ランチ","並盛x1","3300","2026/02/16 12:31:07","1","20:配膳済","00000002567:うな重 梅 定食"
"No:202500100007278","2026/02/16","月","2026/02/16 12:30:28","2026/02/16 13:14:43","2","1800","1","ランチ","ランチ","並盛x1","1800","2026/02/16 12:30:28","1","20:配膳済","00000004031:とんかつ定食"
"No:202500100007279","2026/02/16","月","2026/02/16 12:49:44","2026/02/16 12:58:51","1","1200","1","ランチ","ランチ","並盛x1","1200","2026/02/16 12:49:44","1","20:配膳済","00000004028:しょうが焼き定食"
"No:202500100007280","2026/02/16","月","2026/02/16 13:09:52","2026/02/16 13:30:34","1","1200","1","ランチ","ランチ","並盛x1","1200","2026/02/16 13:09:52","1","20:配膳済","00000003135:チキン南蛮定食"
"No:202500100007281","2026/02/16","月","2026/02/16 13:10:20","2026/02/16 13:28:32","0","1100","1","ランチ","ランチ","おろしソースx1 / 並盛x1","1100","2026/02/16 13:10:20","1","20:配膳済","00000004027:とり天定食"
"No:202500100007282","2026/02/16","月","2026/02/16 13:16:31","2026/02/16 13:48:37","2","2400","2","ランチ","ランチ","少なめx1","1200","2026/02/16 13:16:31","1","20:配膳済","00000001786:サバ定食"
"No:202500100007282","2026/02/16","月","2026/02/16 13:16:31","2026/02/16 13:48:37","2","2400","2","ランチ","ランチ","並盛x1","1200","2026/02/16 13:16:31","1","20:配膳済","00000001786:サバ定食"
"No:202500100007282","2026/02/16","月","2026/02/16 13:16:31","2026/02/16 13:48:18","2","1200","1","ランチ","ランチ","少なめx1","1200","2026/02/16 13:16:31","1","20:配膳済","00000001786:サバ定食"
"No:202500100007282","2026/02/16","月","2026/02/16 13:16:31","2026/02/16 13:48:37","2","1200","1","ランチ","ランチ","並盛x1","1200","2026/02/16 13:16:31","1","20:配膳済","00000001786:サバ定食"
"No:202500100007283","2026/02/16","月","2026/02/16 12:17:19","2026/02/16 14:34:23","0","-5320","-2","ウーバーイーツ","鰻料理","","-3430","2026/02/16 12:17:19","-1","20:配膳済","00000004189:梅肝重30％オフ"
"No:202500100007283","2026/02/16","月","2026/02/16 12:17:19","2026/02/16 14:34:23","0","-5320","-2","ウーバーイーツ","お弁当","","-1890","2026/02/16 12:17:19","-1","20:配膳済","00000004190:カキフライ弁当30％オフ"
"No:202500100007284","2026/02/16","月","2026/02/16 14:38:17","2026/02/16 14:38:23","0","5320","2","ウーバーイーツ","鰻料理","","3430","2026/02/16 14:38:17","1","20:配膳済","00000004189:梅肝重30％オフ"
"No:202500100007284","2026/02/16","月","2026/02/16 14:38:17","2026/02/16 14:38:23","0","5320","2","ウーバーイーツ","お弁当","","1890","2026/02/16 14:38:17","1","20:配膳済","00000004190:カキフライ弁当30％オフ"
"No:202500100007285","2026/02/16","月","2026/02/16 17:03:30","2026/02/16 17:41:43","0","1800","1","ロケットナウ","お弁当","","1800","2026/02/16 17:03:30","1","20:配膳済","00000003684:ロケット牡蠣フライ弁当"
