"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","ドリンク","ウイスキー","00000003245:角ハイボール","普通x1","700","1","2026/05/15 19:12:20","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","ドリンク","ウイスキー","00000003245:角ハイボール","普通x1","700","1","2026/05/15 19:12:20","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","フード","おすすめ","00000003209:フライドポテト","塩味x1","440","1","2026/05/15 19:17:47","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","フード","揚げ物","00000000069:若鳥のうまから揚げ","","1100","1","2026/05/15 19:17:47","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","フード","鰻料理","00000002557:う巻 上","","3000","1","2026/05/15 19:17:47","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","フード","サラダ","00000001075:チョレギサラダ","","1100","1","2026/05/15 19:17:47","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","ドリンク","ウイスキー","00000003245:角ハイボール","メガx1","1000","1","2026/05/15 19:17:47","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","フード","おすすめ","00000000163:穴子天ぷら","","1100","1","2026/05/15 19:17:47","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","フード","一品料理","00000000083:マグロ納豆","","1100","1","2026/05/15 19:17:47","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","ドリンク","ウイスキー","00000003245:角ハイボール","メガx1","1000","1","2026/05/15 19:37:36","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","ドリンク","ウイスキー","00000003245:角ハイボール","メガx1","1000","1","2026/05/15 19:46:26","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","フード","おすすめ","00000003209:フライドポテト","塩味x1","440","1","2026/05/15 20:12:30","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","フード","おすすめ","00000000899:骨せんべい","","440","1","2026/05/15 20:12:30","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","ドリンク","ウイスキー","00000003245:角ハイボール","メガx1","1000","1","2026/05/15 20:31:59","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","フード","鰻料理","00000000287:ﾊｰﾌうなぎ蒲焼","","3600","1","2026/05/15 20:42:41","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","ドリンク","ウイスキー","00000003245:角ハイボール","メガx1","1000","1","2026/05/15 20:42:41","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","フード","一品料理","00000000085:ガツ刺し","","1100","1","2026/05/15 20:42:41","20:配膳済"
"No:202600100001067","2026/05/15","金","2026/05/15 19:05:17","2026/05/15 21:26:39","2","21640","20","ドリンク","ウイスキー","00000003245:角ハイボール","メガx1","0","0","2026/05/15 21:12:01","30:キャンセル済"
"No:202600100001068","2026/05/15","金","2026/05/15 19:21:28","2026/05/15 20:09:04","0","12600","3","TO/出前","鰻料理","00000004053:TO)うな重 梅","","4200","1","2026/05/15 19:21:28","20:配膳済"
"No:202600100001068","2026/05/15","金","2026/05/15 19:21:28","2026/05/15 20:09:04","0","12600","3","TO/出前","鰻料理","00000004053:TO)うな重 梅","","4200","1","2026/05/15 19:21:28","20:配膳済"
"No:202600100001068","2026/05/15","金","2026/05/15 19:21:28","2026/05/15 20:09:04","0","12600","3","TO/出前","鰻料理","00000004053:TO)うな重 梅","","4200","1","2026/05/15 19:21:28","20:配膳済"
"No:202600100001069","2026/05/15","金","2026/05/15 19:21:57","2026/05/15 21:08:57","0","2700","3","ロケットナウ","お弁当","00000003802:ロケット唐揚げ弁当","","1300","1","2026/05/15 19:21:57","20:配膳済"
"No:202600100001069","2026/05/15","金","2026/05/15 19:21:57","2026/05/15 21:08:57","0","2700","3","ロケットナウ","お弁当","00000003826:ロケットとり天弁当","明太マヨx1 / 並盛x1","1200","1","2026/05/15 19:21:57","20:配膳済"
"No:202600100001069","2026/05/15","金","2026/05/15 19:21:57","2026/05/15 21:08:57","0","2700","3","ロケットナウ","鰻料理","00000003694:ロケット大盛り","","200","1","2026/05/15 19:21:57","20:配膳済"
"No:202600100001070","2026/05/15","金","2026/05/15 19:33:11","2026/05/15 20:22:57","1","8120","8","フード","お通し","00000004006:お通し","","660","1","2026/05/15 19:33:11","20:配膳済"
"No:202600100001070","2026/05/15","金","2026/05/15 19:33:11","2026/05/15 20:22:57","1","8120","8","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/05/15 19:33:11","20:配膳済"
"No:202600100001070","2026/05/15","金","2026/05/15 19:33:11","2026/05/15 20:22:57","1","8120","8","フード","おすすめ","00000004213:くじら","","1650","1","2026/05/15 19:33:11","20:配膳済"
"No:202600100001070","2026/05/15","金","2026/05/15 19:33:11","2026/05/15 20:22:57","1","8120","8","フード","おすすめ","00000003593:鰻ヒレ串","","330","1","2026/05/15 19:33:11","20:配膳済"
"No:202600100001070","2026/05/15","金","2026/05/15 19:33:11","2026/05/15 20:22:57","1","8120","8","フード","おすすめ","00000004424:稚鮎春巻き","","770","1","2026/05/15 19:33:11","20:配膳済"
"No:202600100001070","2026/05/15","金","2026/05/15 19:33:11","2026/05/15 20:22:57","1","8120","8","ドリンク","日本酒","00000004425:二兎","","1320","1","2026/05/15 19:41:27","20:配膳済"
"No:202600100001070","2026/05/15","金","2026/05/15 19:33:11","2026/05/15 20:22:57","1","8120","8","フード","焼き物","00000000068:サバの一夜干し","","1300","1","2026/05/15 19:57:18","20:配膳済"
"No:202600100001070","2026/05/15","金","2026/05/15 19:33:11","2026/05/15 20:22:57","1","8120","8","ドリンク","日本酒","00000004421:陸奥八仙","","1320","1","2026/05/15 20:22:06","20:配膳済"
"No:202600100001071","2026/05/15","金","2026/05/15 20:01:34","2026/05/15 21:09:06","0","4600","2","ウーバーイーツ","鰻料理","00000004086:uberうな重梅","","4400","1","2026/05/15 20:01:34","20:配膳済"
"No:202600100001071","2026/05/15","金","2026/05/15 20:01:34","2026/05/15 21:09:06","0","4600","2","ウーバーイーツ","鰻料理","00000004092:uber大盛り","","200","1","2026/05/15 20:01:34","20:配膳済"
"No:202600100001072","2026/05/15","金","2026/05/15 20:45:10","2026/05/15 21:24:00","1","3260","4","フード","お通し","00000004006:お通し","","660","1","2026/05/15 20:45:10","20:配膳済"
"No:202600100001072","2026/05/15","金","2026/05/15 20:45:10","2026/05/15 21:24:00","1","3260","4","フード","鰻料理","00000002558:肝焼き","","600","1","2026/05/15 20:46:17","20:配膳済"
"No:202600100001072","2026/05/15","金","2026/05/15 20:45:10","2026/05/15 21:24:00","1","3260","4","フード","揚げ物","00000003105:牡蠣フライ(2個)","","1100","1","2026/05/15 20:48:42","20:配膳済"
