"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202500100007943","2026/03/14","土","2026/03/14 18:14:47","2026/03/14 18:41:18","1","7060","3","フード","お通し","00000004006:お通し","","660","1","2026/03/14 18:14:47","20:配膳済"
"No:202500100007943","2026/03/14","土","2026/03/14 18:14:47","2026/03/14 18:41:18","1","7060","3","フード","鰻料理","00000002554:うな重 竹","並盛x1","5800","1","2026/03/14 18:14:47","20:配膳済"
"No:202500100007943","2026/03/14","土","2026/03/14 18:14:47","2026/03/14 18:41:18","1","7060","3","フード","鰻料理","00000002558:肝焼き","","600","1","2026/03/14 18:14:47","20:配膳済"
"No:202500100007944","2026/03/14","土","2026/03/14 18:18:24","2026/03/14 19:48:27","0","1500","2","ロケットナウ","お弁当","00000003802:ロケット唐揚げ弁当","","1300","1","2026/03/14 18:18:24","20:配膳済"
"No:202500100007944","2026/03/14","土","2026/03/14 18:18:24","2026/03/14 19:48:27","0","1500","2","ロケットナウ","鰻料理","00000003694:ロケット大盛り","","200","1","2026/03/14 18:18:24","20:配膳済"
"No:202500100007945","2026/03/14","土","2026/03/14 19:03:57","2026/03/14 19:50:45","2","13730","9","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/03/14 19:03:57","20:配膳済"
"No:202500100007945","2026/03/14","土","2026/03/14 19:03:57","2026/03/14 19:50:45","2","13730","9","ドリンク","ビール","00000000014:オールフリー","","600","1","2026/03/14 19:03:57","20:配膳済"
"No:202500100007945","2026/03/14","土","2026/03/14 19:03:57","2026/03/14 19:50:45","2","13730","9","フード","お通し","00000004006:お通し","","660","1","2026/03/14 19:03:57","20:配膳済"
"No:202500100007945","2026/03/14","土","2026/03/14 19:03:57","2026/03/14 19:50:45","2","13730","9","フード","お通し","00000004006:お通し","","660","1","2026/03/14 19:03:57","20:配膳済"
"No:202500100007945","2026/03/14","土","2026/03/14 19:03:57","2026/03/14 19:50:45","2","13730","9","フード","鰻料理","00000002555:うな重 梅","並盛x1","4200","1","2026/03/14 19:03:57","20:配膳済"
"No:202500100007945","2026/03/14","土","2026/03/14 19:03:57","2026/03/14 19:50:45","2","13730","9","フード","鰻料理","00000002555:うな重 梅","並盛x1","4200","1","2026/03/14 19:03:57","20:配膳済"
"No:202500100007945","2026/03/14","土","2026/03/14 19:03:57","2026/03/14 19:50:45","2","13730","9","フード","おすすめ","00000004261:山菜の天ぷら","","770","1","2026/03/14 19:03:57","20:配膳済"
"No:202500100007945","2026/03/14","土","2026/03/14 19:03:57","2026/03/14 19:50:45","2","13730","9","フード","サラダ","00000003261:トマトじゃこ","","1100","1","2026/03/14 19:03:57","20:配膳済"
"No:202500100007945","2026/03/14","土","2026/03/14 19:03:57","2026/03/14 19:50:45","2","13730","9","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/03/14 19:29:46","20:配膳済"
"No:202500100007946","2026/03/14","土","2026/03/14 19:05:34","2026/03/14 19:48:36","0","1400","2","ロケットナウ","お弁当","00000003826:ロケットとり天弁当","明太マヨx1 / 大盛りx1","1200","1","2026/03/14 19:05:34","20:配膳済"
"No:202500100007946","2026/03/14","土","2026/03/14 19:05:34","2026/03/14 19:48:36","0","1400","2","ロケットナウ","鰻料理","00000003694:ロケット大盛り","","200","1","2026/03/14 19:05:34","20:配膳済"
"No:202500100007947","2026/03/14","土","2026/03/14 20:11:27","2026/03/14 20:12:26","0","4400","1","ウーバーイーツ","鰻料理","00000004086:uberうな重梅","","4400","1","2026/03/14 20:11:27","20:配膳済"
"No:202500100007948","2026/03/14","土","2026/03/14 20:18:10","2026/03/14 20:43:48","0","17150","6","ウーバーイーツ","鰻料理","00000004084:uberうな重松","","7700","1","2026/03/14 20:18:10","20:配膳済"
"No:202500100007948","2026/03/14","土","2026/03/14 20:18:10","2026/03/14 20:43:48","0","17150","6","ウーバーイーツ","鰻料理","00000004084:uberうな重松","","7700","1","2026/03/14 20:18:10","20:配膳済"
"No:202500100007948","2026/03/14","土","2026/03/14 20:18:10","2026/03/14 20:43:48","0","17150","6","ウーバーイーツ","鰻料理","00000004092:uber大盛り","","200","1","2026/03/14 20:18:10","20:配膳済"
"No:202500100007948","2026/03/14","土","2026/03/14 20:18:10","2026/03/14 20:43:48","0","17150","6","ウーバーイーツ","鰻料理","00000004092:uber大盛り","","200","1","2026/03/14 20:18:10","20:配膳済"
"No:202500100007948","2026/03/14","土","2026/03/14 20:18:10","2026/03/14 20:43:48","0","17150","6","ウーバーイーツ","鰻料理","00000004090:uber肝焼き","","750","1","2026/03/14 20:18:10","20:配膳済"
"No:202500100007948","2026/03/14","土","2026/03/14 20:18:10","2026/03/14 20:43:48","0","17150","6","ウーバーイーツ","一品料理","00000004111:uberなすのお新香","","600","1","2026/03/14 20:18:10","20:配膳済"
"No:202500100007949","2026/03/14","土","2026/03/14 20:56:14","2026/03/14 21:34:09","0","12250","6","ウーバーイーツ","鰻料理","00000004090:uber肝焼き","","750","1","2026/03/14 20:56:14","20:配膳済"
"No:202500100007949","2026/03/14","土","2026/03/14 20:56:14","2026/03/14 21:34:09","0","12250","6","ウーバーイーツ","鰻料理","00000004091:uber肝焼きプロモーション","","0","1","2026/03/14 20:56:14","20:配膳済"
"No:202500100007949","2026/03/14","土","2026/03/14 20:56:14","2026/03/14 21:34:09","0","12250","6","ウーバーイーツ","鰻料理","00000004092:uber大盛り","","200","1","2026/03/14 20:56:14","20:配膳済"
"No:202500100007949","2026/03/14","土","2026/03/14 20:56:14","2026/03/14 21:34:09","0","12250","6","ウーバーイーツ","鰻料理","00000004087:uberうな重梅肝焼き","","4900","1","2026/03/14 20:56:14","20:配膳済"
"No:202500100007949","2026/03/14","土","2026/03/14 20:56:14","2026/03/14 21:34:09","0","12250","6","ウーバーイーツ","鰻料理","00000004087:uberうな重梅肝焼き","","4900","1","2026/03/14 20:56:14","20:配膳済"
"No:202500100007949","2026/03/14","土","2026/03/14 20:56:14","2026/03/14 21:34:09","0","12250","6","ウーバーイーツ","揚げ物","00000004102:uber若鳥の唐揚げ","","1500","1","2026/03/14 20:56:14","20:配膳済"
"No:202500100007950","2026/03/14","土","2026/03/14 21:17:39","2026/03/14 21:34:19","0","4400","1","ウーバーイーツ","鰻料理","00000004086:uberうな重梅","","4400","1","2026/03/14 21:17:39","20:配膳済"
"No:202500100007951","2026/03/14","土","2026/03/14 21:19:07","2026/03/14 21:34:29","0","21000","10","ウーバーイーツ","鰻料理","00000004085:uberうな重竹","","6500","1","2026/03/14 21:19:07","20:配膳済"
"No:202500100007951","2026/03/14","土","2026/03/14 21:19:07","2026/03/14 21:34:29","0","21000","10","ウーバーイーツ","鰻料理","00000004085:uberうな重竹","","6500","1","2026/03/14 21:19:07","20:配膳済"
"No:202500100007951","2026/03/14","土","2026/03/14 21:19:07","2026/03/14 21:34:29","0","21000","10","ウーバーイーツ","鰻料理","00000004085:uberうな重竹","","6500","1","2026/03/14 21:19:07","20:配膳済"
"No:202500100007951","2026/03/14","土","2026/03/14 21:19:07","2026/03/14 21:34:29","0","21000","10","ウーバーイーツ","鰻料理","00000004091:uber肝焼きプロモーション","","0","1","2026/03/14 21:19:07","20:配膳済"
"No:202500100007951","2026/03/14","土","2026/03/14 21:19:07","2026/03/14 21:34:29","0","21000","10","ウーバーイーツ","鰻料理","00000004091:uber肝焼きプロモーション","","0","1","2026/03/14 21:19:07","20:配膳済"
"No:202500100007951","2026/03/14","土","2026/03/14 21:19:07","2026/03/14 21:34:29","0","21000","10","ウーバーイーツ","鰻料理","00000004090:uber肝焼き","","750","1","2026/03/14 21:19:07","20:配膳済"
"No:202500100007951","2026/03/14","土","2026/03/14 21:19:07","2026/03/14 21:34:29","0","21000","10","ウーバーイーツ","鰻料理","00000004090:uber肝焼き","","750","1","2026/03/14 21:19:07","20:配膳済"
"No:202500100007951","2026/03/14","土","2026/03/14 21:19:07","2026/03/14 21:34:29","0","21000","10","ウーバーイーツ","鰻料理","00000004093:uber骨せんべいプロモーション","","0","1","2026/03/14 21:19:07","20:配膳済"
"No:202500100007951","2026/03/14","土","2026/03/14 21:19:07","2026/03/14 21:34:29","0","21000","10","ウーバーイーツ","鰻料理","00000004093:uber骨せんべいプロモーション","","0","1","2026/03/14 21:19:07","20:配膳済"
"No:202500100007951","2026/03/14","土","2026/03/14 21:19:07","2026/03/14 21:34:29","0","21000","10","ウーバーイーツ","鰻料理","00000004093:uber骨せんべいプロモーション","","0","1","2026/03/14 21:19:23","20:配膳済"
"No:202500100007952","2026/03/15","日","2026/03/15 11:34:20","2026/03/15 14:08:20","0","2500","2","ロケットナウ","お弁当","00000003802:ロケット唐揚げ弁当","","1300","1","2026/03/15 11:34:32","20:配膳済"
"No:202500100007952","2026/03/15","日","2026/03/15 11:34:20","2026/03/15 14:08:20","0","2500","2","ロケットナウ","お弁当","00000003826:ロケットとり天弁当","天つゆx1 / 並盛x1","1200","1","2026/03/15 11:34:32","20:配膳済"
"No:202500100007953","2026/03/15","日","2026/03/15 11:34:58","2026/03/15 12:28:23","3","11890","7","ドリンク","ソフトドリンク","00000000045:ウーロン茶","","550","1","2026/03/15 11:34:58","20:配膳済"
"No:202500100007953","2026/03/15","日","2026/03/15 11:34:58","2026/03/15 12:28:23","3","11890","7","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/03/15 11:34:58","20:配膳済"
"No:202500100007953","2026/03/15","日","2026/03/15 11:34:58","2026/03/15 12:28:23","3","11890","7","ドリンク","ビール","00000000009:ﾌﾟﾚﾐｱﾑﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","770","1","2026/03/15 11:34:58","20:配膳済"
"No:202500100007953","2026/03/15","日","2026/03/15 11:34:58","2026/03/15 12:28:23","3","11890","7","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/03/15 11:35:31","20:配膳済"
"No:202500100007953","2026/03/15","日","2026/03/15 11:34:58","2026/03/15 12:28:23","3","11890","7","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/03/15 11:35:31","20:配膳済"
"No:202500100007953","2026/03/15","日","2026/03/15 11:34:58","2026/03/15 12:28:23","3","11890","7","ランチ","ランチ","00000004031:とんかつ定食","並盛x1","1800","1","2026/03/15 11:35:31","20:配膳済"
"No:202500100007953","2026/03/15","日","2026/03/15 11:34:58","2026/03/15 12:28:23","3","11890","7","ランチ","ランチ単品","00000004037:ランチ白焼ハーフ","","2500","1","2026/03/15 11:35:31","20:配膳済"
"No:202500100007954","2026/03/15","日","2026/03/15 11:52:36","2026/03/15 12:14:57","1","1200","1","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/03/15 11:52:50","20:配膳済"
"No:202500100007955","2026/03/15","日","2026/03/15 11:53:34","2026/03/15 12:40:22","2","9650","3","ランチ","ランチ単品","00000004037:ランチ白焼ハーフ","","2500","1","2026/03/15 11:53:56","20:配膳済"
"No:202500100007955","2026/03/15","日","2026/03/15 11:53:34","2026/03/15 12:40:22","2","9650","3","ランチ","ランチ","00000002567:うな重 梅 定食","並盛x1","0","0","2026/03/15 11:53:56","30:キャンセル済"
"No:202500100007955","2026/03/15","日","2026/03/15 11:53:34","2026/03/15 12:40:22","2","9650","3","ランチ","ランチ","00000002566:うな重 竹 定食","並盛x1","4400","1","2026/03/15 11:53:56","20:配膳済"
"No:202500100007955","2026/03/15","日","2026/03/15 11:53:34","2026/03/15 12:40:22","2","9650","3","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/03/15 11:55:18","20:配膳済"
"No:202500100007956","2026/03/15","日","2026/03/15 11:54:27","2026/03/15 12:45:23","3","6350","3","ランチ","ランチ","00000004029:カキフライ定食","少なめx1","1800","1","2026/03/15 11:54:27","20:配膳済"
"No:202500100007956","2026/03/15","日","2026/03/15 11:54:27","2026/03/15 12:45:23","3","6350","3","ランチ","ランチ","00000004029:カキフライ定食","少なめx1","1800","1","2026/03/15 11:54:27","20:配膳済"
"No:202500100007956","2026/03/15","日","2026/03/15 11:54:27","2026/03/15 12:45:23","3","6350","3","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/03/15 11:54:27","20:配膳済"
"No:202500100007957","2026/03/15","日","2026/03/15 12:02:41","2026/03/15 14:08:27","0","1300","1","ロケットナウ","お弁当","00000003802:ロケット唐揚げ弁当","","1300","1","2026/03/15 12:02:41","20:配膳済"
"No:202500100007958","2026/03/15","日","2026/03/15 12:13:41","2026/03/15 12:40:59","3","4800","3","ランチ","ランチ","00000001786:サバ定食","少なめx1","1200","1","2026/03/15 12:15:14","20:配膳済"
"No:202500100007958","2026/03/15","日","2026/03/15 12:13:41","2026/03/15 12:40:59","3","4800","3","ランチ","ランチ","00000004029:カキフライ定食","並盛x1","1800","1","2026/03/15 12:15:14","20:配膳済"
"No:202500100007958","2026/03/15","日","2026/03/15 12:13:41","2026/03/15 12:40:59","3","4800","3","ランチ","ランチ","00000004030:お刺身定食","並盛x1","1800","1","2026/03/15 12:15:14","20:配膳済"
"No:202500100007959","2026/03/15","日","2026/03/15 12:20:27","2026/03/15 12:39:34","2","2700","2","ランチ","ランチ","00000002484:豚しゃぶ定食","少なめx1","1200","1","2026/03/15 12:20:27","20:配膳済"
"No:202500100007959","2026/03/15","日","2026/03/15 12:20:27","2026/03/15 12:39:34","2","2700","2","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/03/15 12:20:27","20:配膳済"
"No:202500100007959","2026/03/15","日","2026/03/15 12:20:27","2026/03/15 12:39:25","2","1200","1","ランチ","ランチ","00000002484:豚しゃぶ定食","少なめx1","1200","1","2026/03/15 12:20:27","20:配膳済"
"No:202500100007959","2026/03/15","日","2026/03/15 12:20:27","2026/03/15 12:39:34","2","1500","1","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/03/15 12:20:27","20:配膳済"
"No:202500100007960","2026/03/15","日","2026/03/15 12:23:22","2026/03/15 12:56:21","2","3000","2","ランチ","ランチ","00000004028:しょうが焼き定食","並盛x1","1200","1","2026/03/15 12:24:34","20:配膳済"
"No:202500100007960","2026/03/15","日","2026/03/15 12:23:22","2026/03/15 12:56:21","2","3000","2","ランチ","ランチ","00000004031:とんかつ定食","並盛x1","1800","1","2026/03/15 12:24:34","20:配膳済"
"No:202500100007961","2026/03/15","日","2026/03/15 12:25:22","2026/03/15 12:57:11","2","2700","2","ランチ","ランチ","00000002484:豚しゃぶ定食","少なめx1","1200","1","2026/03/15 12:26:36","20:配膳済"
"No:202500100007961","2026/03/15","日","2026/03/15 12:25:22","2026/03/15 12:57:11","2","2700","2","ランチ","ランチ","00000004034:穴子天丼定食","並盛x1","1500","1","2026/03/15 12:26:36","20:配膳済"
"No:202500100007962","2026/03/15","日","2026/03/15 12:32:22","2026/03/15 13:10:24","2","7700","4","ランチ","ランチ","00000002567:うな重 梅 定食","少なめx1","3300","1","2026/03/15 12:32:22","20:配膳済"
"No:202500100007962","2026/03/15","日","2026/03/15 12:32:22","2026/03/15 13:10:24","2","7700","4","ランチ","ランチ","00000002567:うな重 梅 定食","並盛x1","3300","1","2026/03/15 12:32:22","20:配膳済"
"No:202500100007962","2026/03/15","日","2026/03/15 12:32:22","2026/03/15 13:10:24","2","7700","4","ドリンク","ソフトドリンク","00000000048:オレンジジュース","","550","1","2026/03/15 12:32:22","20:配膳済"
"No:202500100007962","2026/03/15","日","2026/03/15 12:32:22","2026/03/15 13:10:24","2","7700","4","ドリンク","ソフトドリンク","00000000046:緑茶","","550","1","2026/03/15 12:32:22","20:配膳済"
