取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量,メモ
RB0120260605192809000,2026/06/05,20:11:05,7000,7000,636,0,7000,636,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,00:42:55,"D","橋本",9A8C1B3BD9034924BBBA6621EE3544C5,"その他","tablecharge",600,3,"リピーター"
RB0120260605192809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A8C1B3BD9034924BBBA6621EE3544C5,"NEW CLASSIC COCKTAIL","森のジントニック",1500,1,
RB0120260605192809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A8C1B3BD9034924BBBA6621EE3544C5,"NEW CLASSIC COCKTAIL","オーチャードマティーニ",1500,1,
RB0120260605192809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A8C1B3BD9034924BBBA6621EE3544C5,"NEW CLASSIC COCKTAIL","サンセットソルティドッグ",1500,1,
RB0120260605192809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A8C1B3BD9034924BBBA6621EE3544C5,"BAR SNACKS ","オリーブ",700,1,
RB0120260605190444000,2026/06/05,20:51:24,16400,16400,1490,0,16400,1490,20500,0,0,0,0,0,0,0,0,0,0,0,0,4100,0,0,0,0,3,17,01:46:40,"A","橋本",4A7493E8CF884C3F98055CC208FBA9ED,"その他","tablecharge",600,3,"リピーター"
RB0120260605190444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4A7493E8CF884C3F98055CC208FBA9ED,"その他","丸氷",100,6,
RB0120260605190444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4A7493E8CF884C3F98055CC208FBA9ED,"ウイスキー（ハイボール・ボトル・オリジナル）","ハウスハイボール",1200,2,
RB0120260605190444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4A7493E8CF884C3F98055CC208FBA9ED,"ウイスキー","アラン アマローネカスク",1600,2,
RB0120260605190444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4A7493E8CF884C3F98055CC208FBA9ED,"ウイスキー","グレンリベット18年",2600,2,
RB0120260605190444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4A7493E8CF884C3F98055CC208FBA9ED,"ウイスキー","アードベック 10年",1600,2,
RB0120260605182348000,2026/06/05,21:15:01,42000,42000,3818,0,42000,3818,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,02:51:13,"B, C","橋本",24E7B4670C784E26AFD6C6B0E25E6988,"未設定","7000円飲み放題付（3時間制）",7000,6,"リピーター"
RB0120260605193306000,2026/06/05,21:51:07,10100,10100,918,0,10100,918,0,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,02:18:00,"E","橋本",FDE3228E326F4FD3B6CCFE6B454F78ED,"その他","tablecharge",600,2,"新規"
RB0120260605193306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDE3228E326F4FD3B6CCFE6B454F78ED,"その他","丸氷",100,2,
RB0120260605193306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDE3228E326F4FD3B6CCFE6B454F78ED,"ウイスキー","アードベック 10年",1600,2,
RB0120260605193306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDE3228E326F4FD3B6CCFE6B454F78ED,"NEW CLASSIC COCKTAIL","カルヴァドスモヒート",1500,1,
RB0120260605193306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDE3228E326F4FD3B6CCFE6B454F78ED,"NEW CLASSIC COCKTAIL","オリエンタルアフタヌーン",1500,1,
RB0120260605193306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDE3228E326F4FD3B6CCFE6B454F78ED,"COLD APPETIZERS","ワカモレチップス",1200,1,
RB0120260605193306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDE3228E326F4FD3B6CCFE6B454F78ED,"HOT APPETIZERS","フィグバター＆ブリオッシュ",1300,1,
RB0120260605211551000,2026/06/05,22:13:36,5900,5900,536,0,5900,536,0,5900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,00:57:45,"A","橋本",9A66BAA91BEA489EBA72EA4D80CE7DDA,"その他","tablecharge",600,2,"海外"
RB0120260605211551000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A66BAA91BEA489EBA72EA4D80CE7DDA,"ビール","ガージェリー",1300,1,
RB0120260605211551000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A66BAA91BEA489EBA72EA4D80CE7DDA,"NEW CLASSIC COCKTAIL","オリエンタルアフタヌーン",1500,1,
RB0120260605211551000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A66BAA91BEA489EBA72EA4D80CE7DDA,"JAPANESE COCKTAIL","撫子ネグローニ",1900,1,
RB0120260605220045000,2026/06/05,23:11:29,18000,18000,1636,0,18000,1636,20000,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,5,15,01:10:43,"D","橋本",BD0CB0929EB44D8DA143382F2A09C4F8,"その他","tablecharge",600,5,"新規"
RB0120260605220045000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD0CB0929EB44D8DA143382F2A09C4F8,"その他","丸氷",100,1,
RB0120260605220045000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD0CB0929EB44D8DA143382F2A09C4F8,"ジャパニーズウイスキー","竹鶴",1700,3,
RB0120260605220045000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD0CB0929EB44D8DA143382F2A09C4F8,"ジャパニーズウイスキー","余市",1800,1,
RB0120260605220045000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD0CB0929EB44D8DA143382F2A09C4F8,"JAPANESE COCKTAIL","焙煎ファッションド",1900,2,
RB0120260605220045000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD0CB0929EB44D8DA143382F2A09C4F8,"FRUITS COCKTAIL","トロピカルヴェール",1500,1,
RB0120260605220045000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD0CB0929EB44D8DA143382F2A09C4F8,"DESSERT COCKTAIL","ティラミスロブロイ",1500,1,
RB0120260605220045000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BD0CB0929EB44D8DA143382F2A09C4F8,"COLD APPETIZERS","ワカモレチップス",1200,1,
RB0120260605205909000,2026/06/05,23:23:36,12600,12600,1145,0,12600,1145,0,12600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,02:24:27,"7, 8","橋本",41E86D42AE2A4C9E8B04B338FF0A5772,"その他","tablecharge",600,2,"海外"
RB0120260605205909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41E86D42AE2A4C9E8B04B338FF0A5772,"カクテル","クラシックカクテル",1900,1,
RB0120260605205909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41E86D42AE2A4C9E8B04B338FF0A5772,"JAPANESE COCKTAIL","焙煎ファッションド",1900,1,
RB0120260605205909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41E86D42AE2A4C9E8B04B338FF0A5772,"JAPANESE COCKTAIL","撫子ネグローニ",1900,1,
RB0120260605205909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41E86D42AE2A4C9E8B04B338FF0A5772,"JAPANESE COCKTAIL","撫子ネグローニ",1900,2,
RB0120260605205909000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41E86D42AE2A4C9E8B04B338FF0A5772,"JAPANESE COCKTAIL","ゆずマティーニ",1900,1,
RB0120260605222242000,2026/06/05,23:39:18,6300,6300,572,0,6300,572,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,01:16:36,"A","橋本",029E6F58EE91453EB7919B0F8284F9FE,"その他","tablecharge",600,3,"一般"
RB0120260605222242000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029E6F58EE91453EB7919B0F8284F9FE,"NEW CLASSIC COCKTAIL","森のジントニック",1500,1,
RB0120260605222242000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029E6F58EE91453EB7919B0F8284F9FE,"FRUITS COCKTAIL","ローズガーデン",1500,1,
RB0120260605222242000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029E6F58EE91453EB7919B0F8284F9FE,"DESSERT COCKTAIL","ティラミスロブロイ",1500,1,
RB0120260605221415000,2026/06/05,23:40:06,14700,14700,1336,0,14700,1336,0,14700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,01:25:51,"E","橋本",AEA31252600744928B6B4A4EE7FA1CFE,"その他","tablecharge",600,4,"新規"
RB0120260605221415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEA31252600744928B6B4A4EE7FA1CFE,"NEW CLASSIC COCKTAIL","森のジントニック",1500,1,
RB0120260605221415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEA31252600744928B6B4A4EE7FA1CFE,"NEW CLASSIC COCKTAIL","ベルガモットモスコミュール",1500,1,
RB0120260605221415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEA31252600744928B6B4A4EE7FA1CFE,"NEW CLASSIC COCKTAIL","デイドリームレモネード",1700,1,
RB0120260605221415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEA31252600744928B6B4A4EE7FA1CFE,"DESSERT COCKTAIL","ソイ抹茶アレキサンダー",1500,1,
RB0120260605221415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEA31252600744928B6B4A4EE7FA1CFE,"DESSERT COCKTAIL","キャラメルナッツキャデラック",1500,2,
RB0120260605221415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEA31252600744928B6B4A4EE7FA1CFE,"BAR SNACKS ","オリーブ",700,1,
RB0120260605221415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEA31252600744928B6B4A4EE7FA1CFE,"COLD APPETIZERS","ワカモレチップス",1200,1,
RB0120260605221415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEA31252600744928B6B4A4EE7FA1CFE,"DESSERT","キャラメルバナナ",1200,1,
RB0120260605220155000,2026/06/05,23:52:17,13500,13500,1227,0,13500,1227,0,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,01:50:22,"B, C","橋本",768784A1806245F595A3909916F96F79,"その他","tablecharge",600,6,""
RB0120260605220155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768784A1806245F595A3909916F96F79,"ビール","ハートランド",1000,2,
RB0120260605220155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768784A1806245F595A3909916F96F79,"NEW CLASSIC COCKTAIL","サンセットソルティドッグ",1500,1,
RB0120260605220155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768784A1806245F595A3909916F96F79,"NEW CLASSIC COCKTAIL","ベルガモットモスコミュール",1500,1,
RB0120260605220155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768784A1806245F595A3909916F96F79,"JAPANESE COCKTAIL","桜ブロッサム",1900,1,
RB0120260605220155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768784A1806245F595A3909916F96F79,"FRUITS COCKTAIL","トロピカルヴェール",1500,1,
RB0120260605220155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768784A1806245F595A3909916F96F79,"DESSERT COCKTAIL","ティラミスロブロイ",1500,1,
RB0120260605232945000,2026/06/05,23:54:06,13400,13400,1218,0,13400,1218,0,13400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,00:24:20,"1, 2, 3","橋本",9E581BCACE0D45F2AB04A605E694405C,"その他","tablecharge",600,6,"新規"
RB0120260605232945000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9E581BCACE0D45F2AB04A605E694405C,"その他","丸氷",100,4,
