集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額
20250822,392117,25,15684,82,4781,858,259347,132770,0
20250823,304234,21,14487,69,4409,530,237860,66374,0
20250824,329937,20,16496,80,4124,621,205153,124784,0
20250825,143630,11,13057,33,4352,282,17094,126536,0
20250827,225849,16,14115,48,4705,433,68651,157198,0
20250828,260315,15,17354,56,4648,518,109230,151085,0
20250829,420305,15,28020,91,4618,627,264297,156008,0
20250830,347237,24,14468,82,4234,747,233651,113586,0
20250831,495,1,495,1,495,1,495,0,0
20250901,95087,7,13583,21,4527,189,62670,32417,0
20250902,52327,6,8721,12,4360,112,32813,19514,0
20250903,250392,11,22762,48,5216,375,43747,206645,0
20250904,115060,9,12784,26,4425,288,75658,39402,0
20250905,269209,18,14956,55,4894,515,115797,153412,0
20250906,315179,17,18539,65,4848,616,120659,194520,0
20250907,124300,14,8878,36,3452,281,77055,47245,0
20250908,151774,12,12647,37,4102,269,116398,35376,0
20250909,242415,15,16161,51,4753,447,96413,146002,0
20250910,125213,8,15651,26,4815,280,108251,16962,0
20250911,73870,7,10552,12,6155,115,18746,55124,0
20250912,424574,20,21228,83,5115,759,116072,308502,0
20250913,311619,23,13548,82,3800,632,184206,127413,0
20250914,271360,21,12921,65,4174,591,73117,198243,0
20250915,151085,14,10791,42,3597,328,114653,36432,0
20250916,92113,3,30704,19,4848,144,32043,60070,0
20250917,198063,12,16505,42,4715,268,48774,149289,0
20250918,233984,11,21271,45,5199,395,21065,212919,0
20250919,255059,18,14169,53,4812,490,114994,140065,0
20250920,362545,24,15106,81,4475,682,240258,122287,0
20250921,214126,15,14275,44,4866,467,102443,111683,0
20250922,186923,15,12461,46,4063,419,136631,50292,0
20250923,130900,11,11900,32,4090,277,72743,58157,0
20250924,142967,10,14296,26,5498,279,60995,81972,0
20250925,146667,11,13333,31,4731,259,109652,37015,0
20250926,526929,25,21077,115,4581,974,272323,254606,0
20250927,438163,29,15109,102,4295,819,286706,151457,0
20250928,183315,14,13093,45,4073,383,56914,126401,0
20250929,197240,15,13149,42,4696,401,138434,58806,0
20250930,144540,9,16060,32,4516,310,98780,45760,0
20251001,111177,9,12353,25,4447,259,55319,55858,0
20251002,190729,9,21192,42,4541,398,68387,122342,0
20251003,347606,28,12414,80,4345,608,176348,171258,0
20251004,162921,14,11637,43,3788,353,81961,80960,0
20251005,78881,11,7171,21,3756,186,57343,21538,0
20251006,236863,16,14803,52,4555,496,102487,134376,0
20251007,136147,9,15127,31,4391,274,73832,62315,0
20251008,200721,14,14337,43,4667,388,147206,53515,0
20251009,156728,12,13060,42,3731,384,65505,91223,0
20251010,348760,20,17438,76,4588,621,220034,128726,0
20251011,276276,22,12558,60,4604,588,132693,143583,0
20251012,330528,28,11804,80,4131,717,182363,148165,0
20251013,165165,16,10322,41,4028,386,74800,90365,0
20251014,119955,10,11995,26,4613,300,46585,73370,0
20251015,175571,13,13505,36,4876,347,54054,121517,0
20251016,100034,11,9094,19,5264,203,30932,69102,0
20251017,379687,19,19983,87,4364,558,304634,75053,0
20251018,336391,25,13455,83,4052,713,240108,96283,0
20251019,127017,15,8467,38,3342,265,54428,72589,0
20251020,94006,7,13429,31,3032,190,25861,68145,0
20251021,239596,14,17114,55,4356,472,130262,109334,0
20251022,172810,13,13293,39,4431,383,55198,117612,0
20251023,194054,12,16171,46,4218,381,43948,150106,0
20251024,433124,12,36093,85,5095,719,89573,343551,0
20251025,276543,26,10636,71,3894,567,219145,57398,0
20251026,157509,16,9844,36,4375,353,71445,86064,0
20251027,193818,14,13844,37,5238,347,51478,142340,0
20251028,173624,13,13355,49,3543,380,63019,110605,0
20251029,92807,9,10311,22,4218,208,42735,50072,0
20251030,117906,10,11790,27,4366,251,92595,25311,0
20251031,402172,19,21166,89,4518,680,235283,166889,0
20251101,178384,18,9910,44,4054,346,99109,79275,0
20251102,166287,24,6928,53,3137,370,94959,71328,0
20251103,203421,17,11965,48,4237,441,38162,165259,0
20251104,130154,9,14461,30,4338,246,53323,76831,0
20251105,212452,12,17704,45,4721,399,87903,124549,0
20251106,164721,12,13726,40,4118,324,63640,101081,0
20251107,420096,26,16157,87,4828,772,207429,212667,0
20251108,193601,16,12100,43,4502,371,87001,106600,0
20251109,87376,7,12482,17,5139,222,37533,49843,0
20251110,91012,10,9101,28,3250,207,36032,54980,0
20251111,47840,4,11960,10,4784,112,13954,33886,0
20251112,106967,8,13370,25,4278,191,15730,91237,0
20251113,129348,12,10779,27,4790,261,38229,91119,0
20251114,435004,26,16730,96,4531,853,194613,240391,0
20251115,249019,29,8586,79,3152,532,177815,71204,0
20251116,150060,16,9378,38,3948,288,77455,72605,0
20251117,238055,12,19837,49,4858,480,93142,144913,0
20251118,117811,8,14726,27,4363,229,18967,98844,0
20251119,442582,21,21075,115,3848,738,199793,242789,0
20251120,171244,13,13172,40,4281,387,39476,131768,0
20251121,356259,25,14250,73,4880,652,167018,189241,0
20251122,298875,24,12453,70,4269,622,128764,170111,0
20251123,168329,18,9351,47,3581,386,91452,76877,0
20251124,133066,14,9504,30,4435,290,89460,43606,0
20251125,156756,11,14250,32,4898,319,30779,125977,0
20251126,112667,10,11266,25,4506,229,60144,52523,0
20251127,245136,10,24513,51,4806,465,50211,194925,0
20251128,567679,16,35479,116,4893,654,504149,63530,0
20251129,454005,13,34923,107,4243,501,27843,426162,0
20251130,60773,7,8681,12,5064,127,58078,2695,0
20251201,179061,9,19895,37,4839,323,55500,123561,0
20251202,104262,9,11584,24,4344,164,61854,42408,0
20251203,84908,8,10613,19,4468,179,75756,9152,0
20251204,224977,13,17305,46,4890,419,78731,146246,0
20251205,552230,17,32484,110,5020,628,370273,181957,0
20251206,435695,25,17427,95,4586,725,126601,309094,0
20251207,81302,10,8130,23,3534,188,43456,37846,0
20251208,99974,11,9088,22,4544,228,63297,36677,0
20251209,186672,12,15556,43,4341,368,78080,108592,0
20251210,308419,13,23724,60,5140,487,58801,249618,0
20251211,146489,13,11268,33,4439,278,72448,74041,0
20251212,448525,14,32037,85,5276,606,307397,141128,0
20251213,488822,22,22219,106,4611,855,374649,114173,0
20251214,58228,7,8318,14,4159,120,15020,43208,0
20251215,147683,9,16409,34,4343,328,30160,117523,0
20251216,300167,16,18760,63,4764,554,128530,171637,0
20251217,277208,13,21323,66,4200,454,118591,158617,0
20251218,441785,8,55223,89,4963,380,38539,403246,0
20251219,631130,26,24274,139,4540,843,491322,139808,0
20251220,445577,28,15913,109,4087,798,403348,42229,0
20251221,168534,10,16853,36,4681,257,111548,56986,0
20251222,398678,10,39867,71,5615,391,354818,43860,0
20251223,225534,11,20503,50,4510,408,104998,120536,0
20251226,421528,20,21076,93,4532,666,195414,226114,0
20251227,489633,25,19585,119,4114,834,435548,54085,0
20251228,465453,29,16050,93,5004,921,317984,147469,0
20251229,464595,29,16020,114,4075,869,322987,141608,0
20251230,413548,21,19692,80,5169,713,185712,227836,0
