取引No,来店日,来店時間,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券内訳,売掛内訳,金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),まとめ買い割引(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"単品料理","たたききゅうり","","",495,1,0,0,-,0,"",0,0,0,0
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"お通し","お通し","女性","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"お通し","お通し","男性","",330,2,0,0,-,0,"",0,0,0,0
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"串焼き","豚しそ巻き","","",286,2,0,0,-,0,"",0,0,0,0
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"単品料理","ししゃも","","",550,1,0,0,-,0,"",0,0,0,0
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"串焼き","豆苗しゃぶ串","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"串焼き","焼き鳥【もも】","タレ","",308,2,0,0,-,0,"",0,0,0,0
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"串焼き","万能ネギのしゃぶ串","","",330,2,0,0,-,0,"",0,0,0,0
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"串焼き","焼き鳥【ぼんじり】","塩","",308,2,0,0,-,0,"",0,0,0,0
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"串焼き","焼き鳥【砂肝】","","",308,2,0,0,-,0,"",0,0,0,0
HD0020260214171050319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FAEB9440077433F9410E5F82A2A5386,"サワー","ブラックレモンサワー","","",700,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,2026/02/14,17:54:41,2026/02/14,18:57:21,6070,6070,551,0,6070,551,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3930,0,0,0,0,0,2,14,01:02:40,"T10",0001,"小島陽","未設定",2A6CABD1896F44A7A1F684EC3009930B,"串焼き","のりチーズ","","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"串焼き","椎茸肉巻き","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"串焼き","うずら肉巻き串","","",275,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"アルコール","角ハイボール","メガ角ハイボール","",900,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"アルコール","角ハイボール","角ハイボール","",660,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"ソフトドリンク","緑茶","","",385,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"単品料理","鶏唐揚げ","","",748,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"お通し","お通し","男性","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"お通し","お通し","女性","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"単品料理","きつね納豆","","",528,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"串焼き","レタス巻き","レタス巻き","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"串焼き","万能ネギのしゃぶ串","","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"串焼き","焼き鳥【せせり】塩","","",308,1,0,0,-,0,"",0,0,0,0
HD0020260214175510612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2A6CABD1896F44A7A1F684EC3009930B,"串焼き","焼き鳥【ぼんじり】","塩","",308,1,0,0,-,0,"",0,0,0,0
HD0020260214172437069,2026/02/14,17:24:25,2026/02/14,19:14:36,5302,5302,482,0,5302,482,0,0,0,0,0,5302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,01:50:10,"T11",0001,"小島陽","未設定",A726791B25AD4BB88F6281F3C9A4AEA0,"単品料理","ニラのおひたし","","",528,1,0,0,-,0,"",0,0,0,0
HD0020260214172437069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A726791B25AD4BB88F6281F3C9A4AEA0,"お通し","お通し","男性","",330,1,0,0,-,0,"",0,0,0,0
HD0020260214172437069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A726791B25AD4BB88F6281F3C9A4AEA0,"日本酒","四季桜【とちぎの星】","","",1210,1,0,0,-,0,"",0,0,0,0
