月,時間グループ,2024_営業日数,2024_日当たり客数,2025_営業日数,2025_日当たり客数,差分_日当たり客数,時間順
5,18時台,31.0,23.35483870967742,31.0,26.838709677419356,3.483870967741936,8
5,19時台,31.0,26.29032258064516,31.0,27.096774193548388,0.8064516129032278,9
5,20時台,31.0,20.64516129032258,31.0,22.806451612903224,2.161290322580644,10
5,21時台,31.0,14.548387096774194,31.0,10.32258064516129,-4.225806451612904,11
5,22時以降,4.0,1.25,,,,12
6,11時前,2.0,2.0,,,,0
6,11時台,15.0,20.533333333333335,24.0,17.416666666666668,-3.116666666666667,1
6,12時台,15.0,30.2,24.0,26.333333333333332,-3.866666666666667,2
6,13時台,15.0,19.2,24.0,19.125,-0.07499999999999929,3
6,14時台,15.0,12.666666666666666,23.0,12.826086956521738,0.15942028985507228,4
6,15時台,15.0,10.0,23.0,8.956521739130435,-1.0434782608695645,5
6,16時台,15.0,10.333333333333334,22.0,9.772727272727273,-0.5606060606060606,6
6,17時台,15.0,14.133333333333333,23.0,14.08695652173913,-0.04637681159420204,7
6,18時台,15.0,24.2,23.0,23.043478260869566,-1.156521739130433,8
6,19時台,15.0,26.6,23.0,27.47826086956522,0.8782608695652172,9
6,20時台,15.0,19.933333333333334,23.0,22.565217391304348,2.631884057971014,10
6,21時台,15.0,13.266666666666667,23.0,10.434782608695652,-2.831884057971015,11
6,22時以降,1.0,1.0,,,,12
7,11時前,1.0,1.0,3.0,2.3333333333333335,1.3333333333333335,0
7,11時台,31.0,17.419354838709676,31.0,17.774193548387096,0.35483870967741993,1
7,12時台,31.0,26.06451612903226,31.0,26.225806451612904,0.16129032258064413,2
7,13時台,31.0,21.451612903225808,31.0,17.06451612903226,-4.387096774193548,3
7,14時台,31.0,13.387096774193548,31.0,13.096774193548388,-0.29032258064516014,4
7,15時台,31.0,10.161290322580646,31.0,8.483870967741936,-1.67741935483871,5
7,16時台,31.0,9.225806451612904,31.0,9.0,-0.2258064516129039,6
7,17時台,31.0,13.064516129032258,31.0,12.548387096774194,-0.5161290322580641,7
7,18時台,31.0,23.451612903225808,31.0,24.322580645161292,0.870967741935484,8
7,19時台,31.0,26.612903225806452,31.0,26.580645161290324,-0.032258064516128115,9
7,20時台,31.0,22.29032258064516,31.0,22.29032258064516,0.0,10
7,21時台,31.0,12.806451612903226,31.0,10.67741935483871,-2.129032258064516,11
7,22時以降,2.0,1.0,,,,12
8,11時前,2.0,2.0,1.0,1.0,-1.0,0
8,11時台,31.0,16.35483870967742,31.0,17.032258064516128,0.6774193548387082,1
8,12時台,31.0,28.322580645161292,31.0,22.870967741935484,-5.451612903225808,2
8,13時台,31.0,19.419354838709676,31.0,18.161290322580644,-1.258064516129032,3
8,14時台,31.0,13.32258064516129,31.0,11.870967741935484,-1.451612903225806,4
8,15時台,31.0,10.258064516129032,31.0,10.290322580645162,0.03225806451612989,5
8,16時台,31.0,10.806451612903226,31.0,9.935483870967742,-0.870967741935484,6
8,17時台,31.0,14.064516129032258,31.0,15.741935483870968,1.67741935483871,7
8,18時台,31.0,25.93548387096774,31.0,22.806451612903224,-3.129032258064516,8
8,19時台,31.0,27.258064516129032,31.0,26.806451612903224,-0.4516129032258078,9
