business_date,day_sales_total,mean_duration_min,mean_sales_per_guest,mean_guests,n_bills,day_sales_category
2025/04/25,264158,96.62727272727274,6118.636363636364,5.090909090909091,11,高売上日
2025/04/26,193316,91.6406862745098,2375.507843137255,2.3529411764705883,34,低売上日
2025/04/27,233743,99.94462365591397,2715.9548387096775,2.6774193548387095,31,高売上日
2025/04/28,210232,99.53636363636365,2628.3300685425684,3.8181818181818183,22,高売上日
2025/04/29,201730,70.33191489361703,1863.4492907801418,2.382978723404255,47,高売上日
2025/04/30,170686,90.74597701149425,2742.747126436782,2.103448275862069,29,低売上日
2025/05/01,189806,93.82098765432099,2391.4783950617284,3.0,27,低売上日
2025/05/02,140048,97.12318840579711,2594.336956521739,2.4347826086956523,23,低売上日
2025/05/03,196761,80.42592592592592,2395.5652777777777,2.25,36,高売上日
2025/05/04,201392,97.44569892473118,2493.3693548387096,2.7096774193548385,31,高売上日
2025/05/05,176728,86.93,2059.935238095238,2.4857142857142858,35,低売上日
2025/05/06,111985,93.57083333333334,2514.991666666667,2.3,20,低売上日
2025/05/07,117502,95.215625,3011.389583333333,2.5625,16,低売上日
2025/05/08,111037,102.92280701754386,2399.1973684210525,2.3684210526315788,19,低売上日
2025/05/09,253126,106.99166666666667,4207.613888888889,3.0625,16,高売上日
2025/05/10,168066,97.72380952380952,2822.708333333333,2.3214285714285716,28,低売上日
2025/05/11,202146,97.4359375,2675.73125,2.25,32,高売上日
2025/05/12,102287,92.22254901960784,2428.7372549019606,2.588235294117647,17,低売上日
2025/05/13,242732,98.16111111111111,7329.4537037037035,2.6666666666666665,9,高売上日
2025/05/14,148060,112.5090909090909,2685.3719696969697,2.4545454545454546,22,低売上日
2025/05/15,142624,110.15263157894738,3092.9605263157896,2.3157894736842106,19,低売上日
2025/05/16,183676,105.19166666666668,2947.464743589743,2.3846153846153846,26,低売上日
2025/05/17,196883,94.50595238095238,2882.6892006802723,2.4642857142857144,28,高売上日
2025/05/18,245439,101.59901960784315,2565.7843137254904,3.088235294117647,34,高売上日
2025/05/19,170361,100.93560606060606,3476.916666666667,2.409090909090909,22,低売上日
2025/05/20,166144,115.78968253968254,3176.436507936508,2.380952380952381,21,低売上日
2025/05/21,151412,98.01458333333333,2914.78125,2.1666666666666665,24,低売上日
2025/05/22,165213,97.96666666666665,3413.9666666666667,2.2,25,低売上日
2025/05/23,206049,114.75378787878789,3485.568181818182,2.8181818181818183,22,高売上日
2025/05/24,212064,82.40454545454546,2163.4202741702743,3.0606060606060606,33,高売上日
2025/05/25,191447,88.75245098039215,2628.5245098039213,2.176470588235294,34,低売上日
2025/05/26,107046,82.26666666666667,2817.3947368421054,2.0526315789473686,19,低売上日
2025/05/27,180314,108.35466666666667,3216.463333333333,2.36,25,低売上日
2025/05/28,172443,99.73680555555556,2529.8866792929293,2.6666666666666665,24,低売上日
2025/05/29,171826,90.61866666666667,2820.862380952381,2.4,25,低売上日
2025/05/30,152890,101.96078431372548,3108.2247899159665,2.823529411764706,17,低売上日
2025/05/31,237285,87.0375,2781.9554894179896,2.5277777777777777,36,高売上日
2025/06/01,274768,87.58798449612404,2561.7699612403103,2.5348837209302326,43,高売上日
2025/06/02,170114,88.16234567901235,2774.1895943562613,2.4444444444444446,27,低売上日
2025/06/03,140154,122.26746031746032,3188.4801587301586,2.1904761904761907,21,低売上日
2025/06/04,181720,80.75493827160493,2569.6641975308644,2.5555555555555554,27,低売上日
2025/06/05,140022,105.42583333333334,2629.0641666666666,2.9,20,低売上日
2025/06/06,253778,92.42323232323233,2827.757575757576,2.606060606060606,33,高売上日
2025/06/07,330826,94.74625850340136,2735.8244897959185,2.4081632653061225,49,高売上日
2025/06/08,236257,94.96538461538462,2656.610042735043,2.3846153846153846,39,高売上日
2025/06/09,127152,97.96833333333333,2794.391666666667,2.2,20,低売上日
2025/06/10,146816,139.25964912280702,3374.0394736842104,2.3684210526315788,19,低売上日
2025/06/11,194176,104.77708333333334,3111.975694444445,2.5,24,高売上日
2025/06/12,146088,106.40079365079364,2599.095238095238,2.6666666666666665,21,低売上日
2025/06/13,230362,110.33623188405797,4099.176811594203,2.739130434782609,23,高売上日
2025/06/14,210761,97.52238095238096,2802.919047619048,2.1714285714285713,35,高売上日
2025/06/15,263732,76.7422480620155,2490.0589147286823,2.488372093023256,43,高売上日
2025/06/16,131788,97.88840579710146,2714.2702898550724,2.260869565217391,23,低売上日
2025/06/17,116070,88.36111111111111,3173.4444444444443,2.111111111111111,18,低売上日
2025/06/18,103396,91.4925925925926,2597.538888888889,2.3333333333333335,18,低売上日
2025/06/19,130452,91.82733333333334,2379.058,2.2,25,低売上日
2025/06/20,202271,95.42916666666667,2839.4770408163267,2.5714285714285716,28,高売上日
2025/06/21,251303,90.93211382113822,2637.3150406504064,2.3902439024390243,41,高売上日
