business_date,entry_16_bucket,mean_duration_min,mean_sales_per_guest,mean_guests,n_bills,day_sales_total,day_sales_category
2025/07/12,16時前入店,67.13,2604.516666666667,2.0,10,289739,高売上日
2025/07/13,16時以降入店,83.02333333333333,2566.991666666667,2.4,30,248773,高売上日
2025/07/13,16時前入店,83.73939393939393,2741.7954545454545,2.272727272727273,11,248773,高売上日
2025/07/14,16時以降入店,105.74666666666667,3623.999642857143,2.7,20,194841,高売上日
2025/07/15,16時以降入店,81.45666666666668,3896.8208333333337,2.3,20,183591,低売上日
2025/07/16,16時以降入店,96.16777777777777,3367.027777777778,2.1333333333333333,15,102205,低売上日
2025/07/17,16時以降入店,88.93968253968254,2906.6309523809523,2.4761904761904763,21,151288,低売上日
2025/07/18,16時以降入店,96.60289855072465,3438.608695652174,2.9130434782608696,23,222099,高売上日
2025/07/19,16時以降入店,89.03200000000001,3174.173333333333,2.4,25,257396,高売上日
2025/07/19,16時前入店,92.99,2653.8166666666666,2.5,10,257396,高売上日
2025/07/20,16時以降入店,87.38981481481481,2973.991203703704,2.5277777777777777,36,346226,高売上日
2025/07/20,16時前入店,89.87564102564103,3063.5128205128203,2.0,13,346226,高売上日
2025/07/21,16時以降入店,98.68039215686274,3204.9901960784314,2.3529411764705883,17,153430,低売上日
2025/07/21,16時前入店,70.80833333333334,2176.6666666666665,2.0,6,153430,低売上日
2025/07/22,16時以降入店,91.8140350877193,5038.108771929825,1.9473684210526316,19,262113,高売上日
2025/07/22,16時前入店,76.63333333333334,3941.5,2.0,1,262113,高売上日
2025/07/23,16時以降入店,90.87348484848485,3086.8712121212125,2.1363636363636362,22,169840,低売上日
2025/07/23,16時前入店,86.37083333333334,2287.583333333333,2.25,4,169840,低売上日
2025/07/24,16時以降入店,97.86666666666667,2923.3385416666665,2.5,16,125447,低売上日
2025/07/25,16時以降入店,102.12222222222222,5280.7555555555555,2.2333333333333334,30,303873,高売上日
2025/07/25,16時前入店,71.16111111111111,2891.3333333333335,1.3333333333333333,3,303873,高売上日
2025/07/26,16時以降入店,82.66182795698926,2905.288172043011,2.2903225806451615,31,279917,高売上日
2025/07/26,16時前入店,85.76060606060607,2844.048484848485,2.4545454545454546,11,279917,高売上日
