月,時間グループ,2024_営業日数,2024_日当たり客数,2025_営業日数,2025_日当たり客数,差分_日当たり客数,時間順
5,13時台,31.0,20.129032258064516,31.0,26.387096774193548,6.258064516129032,3
5,14時台,31.0,10.806451612903226,31.0,16.677419354838708,5.870967741935482,4
5,15時台,30.0,6.966666666666667,31.0,11.451612903225806,4.484946236559139,5
5,16時台,30.0,4.833333333333333,31.0,9.838709677419354,5.005376344086021,6
5,17時台,31.0,5.064516129032258,31.0,13.64516129032258,8.580645161290322,7
5,18時台,31.0,8.96774193548387,31.0,23.387096774193548,14.419354838709678,8
5,19時台,31.0,15.483870967741936,31.0,29.129032258064516,13.64516129032258,9
5,20時台,31.0,14.419354838709678,31.0,27.677419354838708,13.25806451612903,10
5,21時台,31.0,12.258064516129032,31.0,12.225806451612904,-0.032258064516128115,11
5,22時以降,28.0,8.357142857142858,,,,12
6,11時前,1.0,1.0,,,,0
6,11時台,30.0,14.233333333333333,8.0,28.0,13.766666666666667,1
6,12時台,30.0,32.53333333333333,8.0,34.875,2.3416666666666686,2
6,13時台,30.0,18.966666666666665,8.0,22.5,3.533333333333335,3
6,14時台,30.0,9.3,8.0,14.625,5.324999999999999,4
6,15時台,30.0,6.533333333333333,8.0,9.25,2.716666666666667,5
6,16時台,30.0,4.866666666666666,8.0,12.125,7.258333333333334,6
6,17時台,29.0,5.0,8.0,13.125,8.125,7
6,18時台,30.0,7.666666666666667,8.0,19.75,12.083333333333332,8
6,19時台,30.0,11.733333333333333,8.0,26.75,15.016666666666667,9
6,20時台,30.0,11.333333333333334,8.0,30.125,18.791666666666664,10
6,21時台,29.0,9.03448275862069,7.0,13.428571428571429,4.394088669950738,11
6,22時以降,25.0,9.2,,,,12
7,11時前,,,2.0,3.0,,0
7,11時台,31.0,16.483870967741936,30.0,26.666666666666668,10.182795698924732,1
7,12時台,31.0,35.516129032258064,30.0,34.333333333333336,-1.1827956989247284,2
7,13時台,31.0,20.548387096774192,30.0,21.933333333333334,1.3849462365591414,3
7,14時台,31.0,12.870967741935484,30.0,15.266666666666667,2.3956989247311835,4
7,15時台,30.0,6.766666666666667,30.0,10.733333333333333,3.966666666666666,5
7,16時台,30.0,5.6,30.0,7.933333333333334,2.333333333333334,6
7,17時台,29.0,5.793103448275862,30.0,11.666666666666666,5.873563218390804,7
7,18時台,31.0,10.64516129032258,30.0,20.6,9.954838709677421,8
