取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
000120260301210542258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,7
000120260301211224778,2026/03/02,06:12:49,5390,5390,,,5390,,,,,,,,,,,,,,,,,,,,1,3,00:00:00,,,,,,,
000120260301211224778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,1
000120260301211224778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黒板メニュー,黒板メニュー　肉料理,1800,1
000120260301211224778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,2
RB0120260301185156000,2026/03/02,06:37:24,48620,48620,,,48620,,,,,,,,,,,,,,,,,,,,5,11,00:00:00,,,,,,,
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,デザート,バースデープレート,1500,1
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,10
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ハートランド,1000,1
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,7
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,デバルド・ロッソ,1200,2
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,デバルド・ロッソ,1200,1
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,パナメラ・カルベネ・ソーヴィニョン,1600,3
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アラカルト,フレンチフライ,1000,4
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,マルゲリータ,1800,6
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Japanese High Tea,1800,2
RB0120260301185156000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,オレンジジュース,800,1
RB0120260301215100000,2026/03/02,07:57:37,12760,12760,,,12760,,,,,,,,,,,,,,,,,,,,3,7,00:00:00,,,,,,,
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,3
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アラカルト,フレンチフライ,1000,1
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Syndicate,1800,1
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,セイロンバックスフィズ,1600,1
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,ゴールデンタイムフィズ,1700,1
RB0120260301215100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Hojicha Negroni,1700,1
RB0120260302202650000,2026/03/03,07:14:13,13200,13200,,,13200,,,,,,,,,,,,,,,,,,,,2,5,00:00:00,,,,,,,
RB0120260302202650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,チーズ盛り合わせ,2200,1
RB0120260302202650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260302202650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,パナメラ・カルベネ・ソーヴィニョン,1600,2
RB0120260302202650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,2
RB0120260302202650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,ブルスケッタ,1000,1
RB0120260302190139000,2026/03/03,07:36:00,44220,44220,,,44220,,,,,,,,,,,,,,,,,,,,2,16,00:00:00,,,,,,,
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,3
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,ドリンク,1200,5
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,丸氷,100,1
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,ウイスキー,2500,1
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,ウイスキー,2500,1
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,ウイスキー,2200,1
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アラカルト,前菜の盛り合わせ,1800,3
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,サラダ,シーザーサラダ ハーフ,1000,2
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,WCIアードモア12年,2200,2
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,BFAジェームズベイ,2000,1
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,プレミアムハウスハイボール,2000,1
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,1
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アラカルト,鶏もものソテー,1400,2
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,ラザニア,1600,2
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,マッカランシェリーカスク12年,3000,1
RB0120260302190139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,ウーロン茶,800,1
RB0120260302220303000,2026/03/03,07:50:25,14960,14960,,,14960,,,,,,,,,,,,,,,,,,,,3,6,00:00:00,,,,,,,
RB0120260302220303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,3
RB0120260302220303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
RB0120260302220303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,ラザニア,1600,1
RB0120260302220303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Syndicate,1800,1
RB0120260302220303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,セイロンバックスフィズ,1500,2
RB0120260302220303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,ゴールデンタイムフィズ,1700,2
RB0120260302224529000,2026/03/03,10:08:42,9180,9180,,,9180,,,,,,,,,,,,,,,,,,,,1,8,00:00:00,,,,,,,
RB0120260302224529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未設定,No charge,0,1
RB0120260302224529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,ドリンク,1200,1
RB0120260302224529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,BFAジェームズベイ,2000,1
RB0120260302224529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジン,タンカレー,1200,1
RB0120260302224529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,禁断パスタ,1800,1
RB0120260302224529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,ラザニア,1600,1
RB0120260302224529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー,アードベック 10年,1600,1
RB0120260302224529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,ウーロン茶,800,1
RB0120260303185302000,2026/03/04,05:15:13,18370,18370,,,18370,,,,,,,,,,,,,,,,,,,,2,7,00:00:00,,,,,,,
RB0120260303185302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,2
RB0120260303185302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黒板メニュー,黒板メニュー　肉料理,1800,1
RB0120260303185302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ビール,ガージェリー,1300,4
RB0120260303185302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ワイン（グラス）,デバルド・ビアンコ,1200,3
RB0120260303185302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ご飯もの,ラザニア,1600,1
RB0120260303185302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Espresso Martini,1800,1
RB0120260303185302000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Hojicha Negroni,1700,1
RB0120260303202437000,2026/03/04,06:41:37,5610,5610,,,5610,,,,,,,,,,,,,,,,,,,,1,4,00:00:00,,,,,,,
RB0120260303202437000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,スナック,MIXローストナッツ,800,1
RB0120260303202437000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,1
RB0120260303202437000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ジャパニーズカクテル,Japanese High Tea,1800,1
RB0120260303202437000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オリジナルカクテル,Arrow Head,2000,1
RB0120260304200836000,2026/03/05,06:41:45,34650,34650,,,34650,,,,,,,,,,,,,,,,,,,,3,2,00:00:00,,,,,,,
