年月,カテゴリ,売上額,構成比(%),客数,客単価
2023-11,アイドルタイム デリバリー,521880,8.2,42,12426
2023-11,ディナー Eat-in,3056910,47.8,260,11757
2023-11,ディナー デリバリー,1464580,22.9,126,11624
2023-12,ランチ Eat-in,1042465,14.8,237,4399
2023-12,ランチ デリバリー,437758,6.2,34,12875
2023-12,アイドルタイム デリバリー,351200,5.0,35,10034
2023-12,ディナー Eat-in,3310285,47.0,269,12306
2023-12,ディナー デリバリー,1897967,27.0,142,13366
2024-01,ランチ Eat-in,327806,8.7,65,5043
2024-01,ランチ デリバリー,141230,3.8,14,10088
2024-01,アイドルタイム デリバリー,303300,8.1,22,13786
2024-01,ディナー Eat-in,1622940,43.3,150,10820
2024-01,ディナー デリバリー,1353179,36.1,100,13532
2024-02,ランチ Eat-in,705585,12.3,180,3920
2024-02,ランチ デリバリー,504014,8.8,46,10957
2024-02,アイドルタイム デリバリー,497740,8.7,42,11851
2024-02,ディナー Eat-in,2166768,37.7,192,11285
2024-02,ディナー デリバリー,1866052,32.5,151,12358
2024-03,ランチ Eat-in,921600,12.4,218,4228
2024-03,ランチ デリバリー,716030,9.7,65,11016
2024-03,アイドルタイム デリバリー,576230,7.8,55,10477
2024-03,ディナー Eat-in,3031169,40.9,258,11749
2024-03,ディナー デリバリー,2172172,29.3,178,12203
2024-04,ランチ Eat-in,932005,14.0,215,4335
2024-04,ランチ デリバリー,605580,9.1,55,11011
2024-04,アイドルタイム デリバリー,524314,7.9,42,12484
2024-04,ディナー Eat-in,2658721,39.8,226,11764
2024-04,ディナー デリバリー,1954958,29.3,156,12532
2024-05,ランチ Eat-in,1159065,16.3,229,5061
2024-05,ランチ デリバリー,907740,12.8,73,12435
2024-05,アイドルタイム デリバリー,708580,10.0,58,12217
2024-05,ディナー Eat-in,1943990,27.4,179,10860
2024-05,ディナー デリバリー,2382210,33.5,205,11621
2024-06,ランチ Eat-in,921910,12.1,209,4411
2024-06,ランチ デリバリー,753130,9.9,78,9656
2024-06,アイドルタイム デリバリー,684110,9.0,61,11215
2024-06,ディナー Eat-in,2938992,38.7,274,10726
2024-06,ディナー デリバリー,2291190,30.2,196,11690
2024-07,ランチ Eat-in,1550105,14.3,262,5916
2024-07,ランチ デリバリー,975660,9.0,78,12508
2024-07,アイドルタイム デリバリー,1010030,9.3,73,13836
2024-07,ディナー Eat-in,3568840,32.8,309,11550
2024-07,ディナー デリバリー,3770650,34.7,290,13002
2024-08,ランチ Eat-in,1004435,15.1,162,6200
2024-08,ランチ デリバリー,472680,7.1,50,9454
2024-08,アイドルタイム デリバリー,569580,8.6,64,8900
2024-08,ディナー Eat-in,2815415,42.3,247,11398
2024-08,ディナー デリバリー,1793490,26.9,163,11003
2024-09,ランチ Eat-in,866075,15.7,174,4977
2024-09,ランチ デリバリー,397170,7.2,37,10734
2024-09,アイドルタイム デリバリー,452140,8.2,34,13298
2024-09,ディナー Eat-in,2479065,45.0,216,11477
2024-09,ディナー デリバリー,1313480,23.8,99,13267
2024-10,ランチ Eat-in,671267,14.2,147,4566
2024-10,ランチ デリバリー,406350,8.6,30,13545
2024-10,アイドルタイム デリバリー,326030,6.9,30,10868
2024-10,ディナー Eat-in,1966820,41.7,170,11570
2024-10,ディナー デリバリー,1348595,28.6,98,13761
2024-11,ランチ Eat-in,755975,13.6,161,4695
2024-11,ランチ デリバリー,377820,6.8,26,14532
2024-11,アイドルタイム デリバリー,200910,3.6,21,9567
2024-11,ディナー Eat-in,2689533,48.4,247,10889
2024-11,ディナー デリバリー,1529762,27.5,123,12437
2024-12,ランチ Eat-in,1126640,15.7,228,4941
2024-12,ランチ デリバリー,474790,6.6,39,12174
2024-12,アイドルタイム デリバリー,561420,7.8,44,12760
2024-12,ディナー Eat-in,3280848,45.6,267,12288
2024-12,ディナー デリバリー,1743770,24.3,152,11472
2025-01,ランチ Eat-in,885030,13.1,178,4972
2025-01,ランチ デリバリー,565520,8.4,44,12853
2025-01,アイドルタイム デリバリー,384640,5.7,38,10122
2025-01,ディナー Eat-in,3066904,45.3,242,12673
2025-01,ディナー デリバリー,1865364,27.6,144,12954
2025-02,ランチ Eat-in,935460,16.8,209,4476
2025-02,ランチ デリバリー,283400,5.1,25,11336
2025-02,アイドルタイム デリバリー,297400,5.3,27,11015
2025-02,ディナー Eat-in,2839465,51.0,230,12346
2025-02,ディナー デリバリー,1209760,21.7,96,12602
2025-03,ランチ Eat-in,1018675,19.4,211,4828
2025-03,ランチ デリバリー,232840,4.4,26,8955
2025-03,アイドルタイム デリバリー,291320,5.6,29,10046
2025-03,ディナー Eat-in,2124215,40.5,191,11122
2025-03,ディナー デリバリー,1581274,30.1,122,12961
2025-04,ランチ Eat-in,1052570,16.0,212,4965
2025-04,ランチ デリバリー,588600,8.9,36,16350
2025-04,アイドルタイム デリバリー,400990,6.1,28,14321
2025-04,ディナー Eat-in,2781390,42.2,231,12041
2025-04,ディナー デリバリー,1770918,26.9,130,13622
2025-05,ランチ Eat-in,1229540,18.3,235,5232
2025-05,ランチ デリバリー,381940,5.7,34,11234
2025-05,アイドルタイム デリバリー,483020,7.2,38,12711
2025-05,ディナー Eat-in,2336370,34.8,208,11233
2025-05,ディナー デリバリー,2279690,34.0,166,13733
2025-06,ランチ Eat-in,1030865,13.0,187,5513
2025-06,ランチ デリバリー,650280,8.2,45,14451
2025-06,アイドルタイム デリバリー,497280,6.3,41,12129
2025-06,ディナー Eat-in,3584722,45.2,297,12070
2025-06,ディナー デリバリー,2171259,27.4,166,13080
2025-07,ランチ Eat-in,1638945,13.9,294,5575
2025-07,ランチ デリバリー,962920,8.2,73,13191
2025-07,アイドルタイム デリバリー,1052128,8.9,81,12989
2025-07,ディナー Eat-in,4245597,36.0,346,12271
2025-07,ディナー デリバリー,3902050,33.1,281,13886
2025-08,ランチ Eat-in,1254220,15.9,194,6465
2025-08,ランチ デリバリー,749980,9.5,57,13158
2025-08,アイドルタイム デリバリー,606440,7.7,50,12129
2025-08,ディナー Eat-in,2982230,37.8,260,11470
2025-08,ディナー デリバリー,2303430,29.2,188,12252
2025-09,ランチ Eat-in,1055700,16.6,205,5150
2025-09,ランチ デリバリー,530050,8.4,42,12620
2025-09,アイドルタイム デリバリー,614970,9.7,46,13369
2025-09,ディナー Eat-in,2224509,35.1,187,11896
2025-09,ディナー デリバリー,1920870,30.3,132,14552
2025-10,ランチ Eat-in,949710,15.8,164,5791
2025-10,ランチ デリバリー,465650,7.7,39,11940
2025-10,アイドルタイム デリバリー,458002,7.6,44,10409
2025-10,ディナー Eat-in,2353415,39.1,211,11154
2025-10,ディナー デリバリー,1796004,29.8,151,11894
2025-11,ランチ Eat-in,919565,13.9,163,5642
2025-11,ランチ デリバリー,577340,8.7,40,14434
2025-11,アイドルタイム デリバリー,395285,6.0,40,9882
2025-11,ディナー Eat-in,2654825,40.1,213,12464
2025-11,ディナー デリバリー,2073765,31.3,169,12271
2025-12,ランチ Eat-in,714540,9.6,130,5496
2025-12,ランチ デリバリー,464065,6.3,51,9099
2025-12,アイドルタイム デリバリー,826225,11.1,65,12711
2025-12,ディナー Eat-in,2879674,38.9,241,11949
2025-12,ディナー デリバリー,2527140,34.1,209,12092
2026-01,ランチ Eat-in,908980,13.7,154,5902
2026-01,ランチ デリバリー,662285,10.0,48,13798
2026-01,アイドルタイム デリバリー,667085,10.1,58,11501
2026-01,ディナー Eat-in,2414876,36.5,197,12258
2026-01,ディナー デリバリー,1958865,29.6,163,12018
2026-02,ランチ Eat-in,628495,11.3,118,5326
2026-02,ランチ デリバリー,365705,6.6,33,11082
2026-02,アイドルタイム デリバリー,495365,8.9,36,13760
2026-02,ディナー Eat-in,2303885,41.3,186,12386
2026-02,ディナー デリバリー,1787334,32.0,144,12412
2026-03,ランチ Eat-in,341000,13.9,64,5328
2026-03,ランチ デリバリー,238970,9.7,18,13276
2026-03,アイドルタイム デリバリー,163300,6.7,14,11664
2026-03,ディナー Eat-in,916930,37.4,68,13484
2026-03,ディナー デリバリー,793240,32.3,68,11665
