menu_name,category,sales,qty,accts,構成比%,出現率%,period
オリエンタルアフタヌーン,NEW CLASSIC COCKTAIL,15000.0,10,8,0.94,9.1,After (4/1-4/18)
シルキー麹サワー,JAPANESE COCKTAIL,13300.0,7,7,0.84,8.0,After (4/1-4/18)
タリスカー10年,ウイスキー,12600.0,9,3,0.79,3.4,After (4/1-4/18)
ティラミスロブロイ,DESSERT COCKTAIL,12000.0,8,8,0.76,9.1,After (4/1-4/18)
ラ・ロスカ カヴァ ブリュット,ワイン,12000.0,2,2,0.76,2.3,After (4/1-4/18)
サンセットソルティドッグ,NEW CLASSIC COCKTAIL,12000.0,8,8,0.76,9.1,After (4/1-4/18)
グレンリベット12年,ウイスキー,11200.0,8,3,0.71,3.4,After (4/1-4/18)
その他CLPコース,コース&セット,428000.0,79,13,15.27,6.9,Before月 (3/1-3/31)
tablecharge,その他,180500.0,361,140,6.44,74.5,Before月 (3/1-3/31)
6500円飲み放題付（2時間制）,コース&セット,149500.0,23,5,5.33,2.7,Before月 (3/1-3/31)
ハウスハイボール,ウイスキー（ハイボール・ボトル・オリジナル）,128700.0,99,33,4.59,17.6,Before月 (3/1-3/31)
招待日和コース(食事のみ)+チャージ別＋サ別,コース&セット,120000.0,12,6,4.28,3.2,Before月 (3/1-3/31)
ガージェリー,ビール,107900.0,83,33,3.85,17.6,Before月 (3/1-3/31)
クラシックカクテル,カクテル,102100.0,63,32,3.64,17.0,Before月 (3/1-3/31)
山葵と梨のスマッシュ,ジャパニーズカクテル,55200.0,24,21,1.97,11.2,Before月 (3/1-3/31)
Japanese High Tea,ジャパニーズカクテル,52200.0,29,25,1.86,13.3,Before月 (3/1-3/31)
Hojicha Negroni,ジャパニーズカクテル,44200.0,26,24,1.58,12.8,Before月 (3/1-3/31)
WCIアードモア12年,ウイスキー（ハイボール・ボトル・オリジナル）,44000.0,20,3,1.57,1.6,Before月 (3/1-3/31)
イベント費用,イベント,42500.0,2,2,1.52,1.1,Before月 (3/1-3/31)
ゴールデンタイムフィズ,オリジナルカクテル,40800.0,24,17,1.46,9.0,Before月 (3/1-3/31)
ボトルワイン,ワイン,39500.0,5,4,1.41,2.1,Before月 (3/1-3/31)
ドリンク,その他,38100.0,27,13,1.36,6.9,Before月 (3/1-3/31)
Arrow Head,オリジナルカクテル,36000.0,18,18,1.28,9.6,Before月 (3/1-3/31)
セイロンバックスフィズ,オリジナルカクテル,34600.0,23,18,1.23,9.6,Before月 (3/1-3/31)
本わさびジンソニック,ジャパニーズカクテル,32400.0,18,16,1.16,8.5,Before月 (3/1-3/31)
余市,ジャパニーズウイスキー,32400.0,18,9,1.16,4.8,Before月 (3/1-3/31)
ハートランド,ビール,32000.0,32,16,1.14,8.5,Before月 (3/1-3/31)
チーズ盛り合わせ,スナック,30800.0,14,12,1.1,6.4,Before月 (3/1-3/31)
ラザニア,ご飯もの,28800.0,18,11,1.03,5.9,Before月 (3/1-3/31)
"サングリア赤　1,800円",ワイン（グラス）,28800.0,16,14,1.03,7.4,Before月 (3/1-3/31)
禁断パスタ,ご飯もの,28800.0,16,15,1.03,8.0,Before月 (3/1-3/31)
マルゲリータ,ご飯もの,28800.0,16,11,1.03,5.9,Before月 (3/1-3/31)
パナメラ・カルベネ・ソーヴィニョン,ワイン（グラス）,28800.0,18,9,1.03,4.8,Before月 (3/1-3/31)
Tommy's Verde Margarita,オリジナルカクテル,25200.0,14,8,0.9,4.3,Before月 (3/1-3/31)
Cafe Oaxaca,オリジナルカクテル,24000.0,15,11,0.86,5.9,Before月 (3/1-3/31)
鶏もものソテー,アラカルト,22600.0,13,8,0.81,4.3,Before月 (3/1-3/31)
焙じ茶ジンソーダ,ジャパニーズカクテル,22400.0,16,13,0.8,6.9,Before月 (3/1-3/31)
イベント費用,イベント,358920.0,54,2,15.58,1.1,YoY (2025/4/1-4/18)
tablecharge,その他,206500.0,417,158,8.97,84.5,YoY (2025/4/1-4/18)
柚子のジン&トニック,オリジナルカクテル,85800.0,66,46,3.73,24.6,YoY (2025/4/1-4/18)
フォレスト・ファッションド,オリジナルカクテル,82800.0,46,31,3.6,16.6,YoY (2025/4/1-4/18)
バロン・ド・ロスチャイルド・ブリュット,ワイン,80000.0,4,1,3.47,0.5,YoY (2025/4/1-4/18)
ウイスキー,ウイスキー,78700.0,46,22,3.42,11.8,YoY (2025/4/1-4/18)
6500円飲み放題付（2時間制）,コース&セット,78000.0,12,4,3.39,2.1,YoY (2025/4/1-4/18)
陽気な楊貴妃,オリジナルカクテル,76500.0,51,44,3.32,23.5,YoY (2025/4/1-4/18)
クラシックカクテル,カクテル,71700.0,44,22,3.11,11.8,YoY (2025/4/1-4/18)
ハートランド,ビール,69000.0,69,35,3.0,18.7,YoY (2025/4/1-4/18)
飲む香水,オリジナルカクテル,61500.0,41,38,2.67,20.3,YoY (2025/4/1-4/18)
氷の華マティーニ,オリジナルカクテル,51000.0,34,28,2.21,15.0,YoY (2025/4/1-4/18)
ハウスハイボール,ウイスキー,48100.0,37,15,2.09,8.0,YoY (2025/4/1-4/18)
ふわもこコーヒーマティーニ,オリジナルカクテル,48000.0,30,22,2.08,11.8,YoY (2025/4/1-4/18)
ボトルワイン,ワイン,47800.0,7,2,2.08,1.1,YoY (2025/4/1-4/18)
