menu_name,sales,qty,accts,period
マーテルコルドンブルー,3000.0,1,1,YoY (2025/4/1-4/18)
ラフロイグ10年,23800.0,14,6,YoY (2025/4/1-4/18)
ラリエ,15000.0,1,1,YoY (2025/4/1-4/18)
ロンサカパ23,1500.0,1,1,YoY (2025/4/1-4/18)
ロートシルト・ファッションド,37800.0,21,20,YoY (2025/4/1-4/18)
ロードオブバーベス,1700.0,1,1,YoY (2025/4/1-4/18)
ワイルドターキー　8年,1200.0,1,1,YoY (2025/4/1-4/18)
丸氷,4900.0,50,28,YoY (2025/4/1-4/18)
余市　蒸留所限定,4500.0,3,2,YoY (2025/4/1-4/18)
前菜の盛り合わせ,7200.0,4,4,YoY (2025/4/1-4/18)
同業ハイボール,3000.0,3,1,YoY (2025/4/1-4/18)
唐揚げ,5000.0,5,5,YoY (2025/4/1-4/18)
季の美,2800.0,2,1,YoY (2025/4/1-4/18)
宮城峡,9600.0,6,6,YoY (2025/4/1-4/18)
宮城峡　蒸留所限定,3600.0,2,1,YoY (2025/4/1-4/18)
山崎12年,35000.0,10,5,YoY (2025/4/1-4/18)
本日のカクテル,3200.0,2,1,YoY (2025/4/1-4/18)
本日のサラダ ハーフ,1600.0,2,2,YoY (2025/4/1-4/18)
本日のサラダ フル,4200.0,3,3,YoY (2025/4/1-4/18)
本日のデザート,8400.0,7,6,YoY (2025/4/1-4/18)
本日のパスタ,4800.0,3,3,YoY (2025/4/1-4/18)
柚子のジン&トニック,85800.0,66,46,YoY (2025/4/1-4/18)
桜尾ジン,2400.0,2,2,YoY (2025/4/1-4/18)
氷、ボトル割りもの,5000.0,5,4,YoY (2025/4/1-4/18)
氷の華マティーニ,51000.0,34,28,YoY (2025/4/1-4/18)
生チョコレート,20000.0,20,12,YoY (2025/4/1-4/18)
生ハム盛り,17600.0,11,11,YoY (2025/4/1-4/18)
白州,5400.0,3,1,YoY (2025/4/1-4/18)
知多,20400.0,12,10,YoY (2025/4/1-4/18)
禁断パスタ,1800.0,1,1,YoY (2025/4/1-4/18)
竹鶴,10200.0,6,1,YoY (2025/4/1-4/18)
色とりどりのドライフルーツ,6400.0,8,7,YoY (2025/4/1-4/18)
陽気な楊貴妃,76500.0,51,44,YoY (2025/4/1-4/18)
響　21年,10000.0,1,1,YoY (2025/4/1-4/18)
響　ブレンダーズチョイス,12000.0,4,3,YoY (2025/4/1-4/18)
飲む香水,61500.0,41,38,YoY (2025/4/1-4/18)
鶏もものソテー,9000.0,5,5,YoY (2025/4/1-4/18)
鶴,14000.0,4,3,YoY (2025/4/1-4/18)
黒板メニュー　その他,31000.0,23,14,YoY (2025/4/1-4/18)
黒板メニュー　パスタ,20400.0,12,11,YoY (2025/4/1-4/18)
黒板メニュー　前菜,1500.0,1,1,YoY (2025/4/1-4/18)
黒板メニュー　肉料理,1800.0,1,1,YoY (2025/4/1-4/18)
黒板メニュー　魚料理,1600.0,1,1,YoY (2025/4/1-4/18)
