menu_name,sales,qty,accts,period
Tommy's Verde Margarita,16200.0,9,4,Before同窓 (3/1-3/18)
WCIアードモア12年,37400.0,17,2,Before同窓 (3/1-3/18)
tablecharge,88500.0,177,70,Before同窓 (3/1-3/18)
いぶりがっこ,1500.0,5,4,Before同窓 (3/1-3/18)
その他CLPコース,139000.0,18,8,Before同窓 (3/1-3/18)
アベラワー 12年,3200.0,2,2,Before同窓 (3/1-3/18)
アードベック 10年,1600.0,1,1,Before同窓 (3/1-3/18)
イベント費用,30000.0,1,1,Before同窓 (3/1-3/18)
イーガンズ,1400.0,1,1,Before同窓 (3/1-3/18)
ウイスキー,7200.0,3,1,Before同窓 (3/1-3/18)
ウルフクレイグ　14年,8400.0,3,1,Before同窓 (3/1-3/18)
ウーロン茶,7200.0,9,7,Before同窓 (3/1-3/18)
オレンジジュース,800.0,1,1,Before同窓 (3/1-3/18)
ガージェリー,76700.0,59,22,Before同窓 (3/1-3/18)
ガーリックブロッコリー,2400.0,3,3,Before同窓 (3/1-3/18)
クラシックカクテル,63500.0,38,17,Before同窓 (3/1-3/18)
クラシックラディ-,1500.0,1,1,Before同窓 (3/1-3/18)
グレンアラヒー8年,6400.0,4,2,Before同窓 (3/1-3/18)
グレングラント アルボラリス,13200.0,11,3,Before同窓 (3/1-3/18)
グレンファークラス 12年,1800.0,1,1,Before同窓 (3/1-3/18)
グレンリベット15年,1800.0,1,1,Before同窓 (3/1-3/18)
グレープフルーツジュース,1600.0,2,2,Before同窓 (3/1-3/18)
コーラ,1600.0,2,1,Before同窓 (3/1-3/18)
ゴールデンタイムフィズ,22100.0,13,9,Before同窓 (3/1-3/18)
"サングリア白　1,800円",5400.0,3,3,Before同窓 (3/1-3/18)
"サングリア赤　1,800円",16200.0,9,9,Before同窓 (3/1-3/18)
シャーリーテンプル,5200.0,4,4,Before同窓 (3/1-3/18)
シーザーサラダ ハーフ,3000.0,3,2,Before同窓 (3/1-3/18)
シーザーサラダ フル,6400.0,4,2,Before同窓 (3/1-3/18)
