#,menu_name,category,sales,qty,accts,構成比,累積構成比,ランク
131,グレンファークラス 12年,ウイスキー,1800.0,1,1,0.06,99.13,C
132,ロッホリー,ウイスキー,1800.0,1,1,0.06,99.19,C
133,ロードオブバーベス,ジン,1700.0,1,1,0.06,99.25,C
134,ピュアモルト(赤),ジャパニーズウイスキー,1600.0,1,1,0.06,99.31,C
135,エンジン,ジン,1600.0,1,1,0.06,99.37,C
136,ジョニーウォーカー ブラックルビー,ウイスキー,1500.0,1,1,0.05,99.42,C
137,クラシックラディ-,ウイスキー,1500.0,1,1,0.05,99.47,C
138,シングルトン12年,ウイスキー,1400.0,1,1,0.05,99.52,C
139,タンカレーNo10,ジン,1400.0,1,1,0.05,99.57,C
140,ジン,ジン,1400.0,1,1,0.05,99.62,C
141,イーガンズ,ウイスキー,1400.0,1,1,0.05,99.67,C
142,デュワーズ 12年,ウイスキー,1300.0,1,1,0.05,99.72,C
143,ヘーゼルナッツラテ,ノンアルコールカクテル,1300.0,1,1,0.05,99.77,C
144,オーヘントッシャン 12年,ウイスキー,1300.0,1,1,0.05,99.82,C
145,ニッカ　セッション,ジャパニーズウイスキー,1300.0,1,1,0.05,99.87,C
146,ブッシュミルズ12年,ウイスキー,1200.0,1,1,0.04,99.91,C
147,パテドカンパーニュ,スナック,1000.0,1,1,0.04,99.95,C
148,柿の種,スナック,900.0,3,3,0.03,99.98,C
149,バスカー,ウイスキー,700.0,1,1,0.02,100.0,C
150,No charge,未設定,0.0,59,34,0.0,100.0,C
