取引No,来店日,来店時間,会計日,会計時間,合計,合計（10%標準）,合計（8%軽減）,合計（8%標準）,合計（非課税）,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,金券内訳,楽天Pay,出前館売掛,Uber売掛,Go to売掛,その他売掛,まとめ買い割引(税込),まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
HD0020250903123525336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B933FDE6B20B4B18B7C4A59CDF9AC9DD,"ごはん、麺類、チジミ","温玉ビビン麺","ビビン麺(温玉抜き)","",900,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903113412053,2025/09/03,11:33:00,2025/09/03,12:42:22,2530,2530,0,0,0,2300,230,0,2530,230,2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,01:09:22,"A1",0003,"サジャニン","未設定",07158A3278BE4FF2BCC284D1B5A6C855,"ランチ","石焼ビビンパ定食","","",1100,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903113412053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07158A3278BE4FF2BCC284D1B5A6C855,"ランチ","野菜たっぷりビビンパ定食","","",1200,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903114201787,2025/09/03,11:38:57,2025/09/03,12:50:15,2860,2860,0,0,0,2600,260,0,2860,260,2910,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,2,4,01:11:18,"A3",0003,"サジャニン","未設定",0AD2940442824F5A87F2931851D77191,"ランチドリンク+100円","カルピス","","",100,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903114201787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0AD2940442824F5A87F2931851D77191,"ランチドリンク+100円","白ぶどうジュース","","",100,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903114201787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0AD2940442824F5A87F2931851D77191,"ランチ","石焼ビビンパ定食","","",1100,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903114201787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0AD2940442824F5A87F2931851D77191,"ランチ","レモン冷麺定食","","",1300,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903125114557,2025/09/03,12:50:55,2025/09/03,13:23:40,1210,1210,0,0,0,1100,110,0,1210,110,0,0,0,0,0,1210,0,0,0,0,0,0,0,0,0,0,0,1,1,00:32:45,"B2",0003,"サジャニン","未設定",1F339DBF90864852A865985450B3A4FE,"ランチ","盛岡冷麺定食","","",1100,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903114254478,2025/09/03,11:25:55,2025/09/03,13:44:48,3520,3520,0,0,0,3200,320,0,3520,320,3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,02:18:53,"A5",0003,"サジャニン","未設定",10825F6A3031457EA1A87224BEF1D24D,"プレート料理","モッパンセット","","",3000,1,0,0,-,0,0,0,0,0,0,0,0,"",0,0,0,0
HD0020250903114254478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10825F6A3031457EA1A87224BEF1D24D,"ランチドリンク+100円","レモネード","","",100,1,0,0,-,0,,,,,,,,"",0,0,0,0
HD0020250903114254478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10825F6A3031457EA1A87224BEF1D24D,"ランチドリンク+100円","レモンスカッシュ","","",100,1,0,0,-,0,,,,,,,,"",0,0,0,0
000320250903180127692,2025/09/03,18:01:46,2025/09/03,18:01:46,2710,0,2710,0,0,2710,200,0,2710,200,0,0,0,0,0,0,0,0,0,0,0,2710,0,0,0,0,0,1,1,00:00:00,"伝票00036158",0003,"サジャニン","未設定",12C8A0C30CF6428EB11B2A559C0EE4D0,"未設定","カスタム商品(食品)","","",2710,1,0,0,-,0,0,0,2710,0,0,0,0,"",0,0,0,0
000320250903180200034,2025/09/03,18:02:12,2025/09/03,18:02:12,2880,0,2880,0,0,2880,213,0,2880,213,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,1,1,00:00:00,"伝票00036159",0003,"サジャニン","未設定",7212196A382E4D27923BF670DA5FB822,"未設定","カスタム商品(食品)","","",2880,1,0,0,-,0,0,0,0,2880,0,0,0,"",0,0,0,0
000320250903180315327,2025/09/03,18:03:28,2025/09/03,18:03:28,4320,0,4320,0,0,4320,320,0,4320,320,0,0,0,0,0,0,0,0,0,0,0,4320,0,0,0,0,0,1,1,00:00:00,"伝票00036160",0003,"サジャニン","未設定",7ABA894BE417418B9C3B7FF205860CE4,"未設定","カスタム商品(食品)","","",4320,1,0,0,-,0,0,0,0,4320,0,0,0,"",0,0,0,0
000320250903180339028,2025/09/03,18:03:46,2025/09/03,18:03:46,3040,0,3040,0,0,3040,225,0,3040,225,0,0,0,0,0,0,0,0,0,0,0,3040,0,0,0,0,0,1,1,00:00:00,"伝票00036161",0003,"サジャニン","未設定",E780FEFA7A4046EFA41A051EF13A3872,"未設定","カスタム商品(食品)","","",3040,1,0,0,-,0,0,0,3040,0,0,0,0,"",0,0,0,0
000320250903180355781,2025/09/03,18:04:03,2025/09/03,18:04:03,2900,0,2900,0,0,2900,214,0,2900,214,0,0,0,0,0,0,0,0,0,0,0,2900,0,0,0,0,0,1,1,00:00:00,"伝票00036162",0003,"サジャニン","未設定",235C2202AA73425081782F7ED049FB42,"未設定","カスタム商品(食品)","","",2900,1,0,0,-,0,0,0,0,2900,0,0,0,"",0,0,0,0
000320250903180516055,2025/09/03,18:05:28,2025/09/03,18:05:28,3710,0,3710,0,0,3710,274,0,3710,274,0,0,0,0,0,0,0,0,0,0,0,3710,0,0,0,0,0,1,1,00:00:00,"伝票00036163",0003,"サジャニン","未設定",8CC11C81D7A94660A76CEAE8A00DC0E1,"未設定","カスタム商品(食品)","","",3710,1,0,0,-,0,0,0,3710,0,0,0,0,"",0,0,0,0
000320250903180539346,2025/09/03,18:05:47,2025/09/03,18:05:47,1600,0,1600,0,0,1600,118,0,1600,118,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,1,1,00:00:00,"伝票00036164",0003,"サジャニン","未設定",0D931413B6E34D339C85F5C8177F3F3C,"未設定","カスタム商品(食品)","","",1600,1,0,0,-,0,0,0,1600,0,0,0,0,"",0,0,0,0
