予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20260319 12:46:47,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1355,1525,,,,2,,D個室1,,,,,,,
20260319 12:47:22,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1250,1420,,,,3,,B1,,,,,,,
20260319 12:50:35,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1250,1420,,,,4,,D個室1,,,,,,,
20260319 12:58:39,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1300,1430,,,,2,,A4,,,,,,,
20260319 14:24:26,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1930,2100,,,,4,,B1,,,,,,,
20260319 17:11:25,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1830,2000,お席のみのご予約,,,2,HPG即,A1,SDE209132,100,,,,,
20260319 17:16:15,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1715,1845,,,,3,,B3,,,,,,,
20260319 18:17:31,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1815,1945,,,,4,,B4,,,,,,,
20260319 18:33:13,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1835,2005,,,,2,,D個室1,,,,,,,
20260319 18:37:56,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1930,2100,,,,4,,B3,,,,,,,
20260319 19:18:26,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1915,2045,,,,2,,A5,,,,,,,
20260319 19:19:13,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1945,2115,,,,2,,B1,,,,,,,
20260319 19:30:17,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20260319,1930,2100,,,,2,,B2,,,,,,,
