商品カテゴリ①,商品カテゴリ②,商品名,商品ID,商品単価,累計売上個数,累計売上,2024-11売上個数,2024-12売上個数,2025-01売上個数,2025-02売上個数,2025-03売上個数,2025-04売上個数,2025-05売上個数,2025-06売上個数,2025-07売上個数,2025-08売上個数,2025-09売上個数,2025-10売上個数,2024-11売上高,2024-12売上高,2025-01売上高,2025-02売上高,2025-03売上高,2025-04売上高,2025-05売上高,2025-06売上高,2025-07売上高,2025-08売上高,2025-09売上高,2025-10売上高
ドリンク,ジンソーダ,翠ジンソーダメガ,00000000111,730,251,185690,0,6,12,23,21,32,31,22,35,32,20,17,0,4380,8760,16790,15330,23360,22630,16440,26250,24000,15000,12750
フード,サラダ,気まくれ海鮮サラダ,00000000020,780,232,180960,1,2,1,8,10,28,34,38,38,31,27,14,780,1560,780,6240,7800,21840,26520,29640,29640,24180,21060,10920
フード,食事,醤油焼きそば,00000000066,780,221,172380,1,4,7,6,37,31,23,29,26,26,21,10,780,3120,5460,4680,28860,24180,17940,22620,20280,20280,16380,7800
フード,サラダ,柿とチーズの生ハム包み,00000000226,880,161,172280,1,6,10,16,16,12,12,18,28,19,14,9,880,5280,10600,17280,17280,12960,12960,19440,30240,20520,15120,9720
フード,揚げ物,ししゃも大葉巻き,00000000434,880,191,168080,0,0,0,0,0,17,41,44,32,30,16,11,0,0,0,0,0,14960,36080,38720,28160,26400,14080,9680
フード,揚げ物,ｶﾏﾝﾍﾞｰﾙﾁｰｽﾞﾌﾗｲ,00000000063,580,282,163560,1,8,10,12,15,40,31,35,37,34,40,19,580,4640,5800,6960,8700,23200,17980,20300,21460,19720,23200,11020
ドリンク,ビール,その他,00000000413,11174,35,163400,0,0,0,1,6,6,6,4,5,5,1,1,0,0,0,2200,65228,13200,13200,6800,11000,35289,12550,3933
ドリンク,焼酎,芋)黒霧島,00000000145,450,360,162000,2,13,20,14,41,56,79,39,36,45,10,5,900,5850,9000,6300,18450,25200,35550,17550,16200,20250,4500,2250
ドリンク,サワー,すりおろしりんごサワー,00000000119,430,357,157390,1,10,14,29,37,27,31,36,60,54,43,15,430,4300,6020,12470,15910,11610,13330,15920,27000,24300,19350,6750
フード,逸品料理,牛すじ煮込み,00000000204,680,229,155720,7,15,10,18,18,20,30,20,26,17,33,15,4760,10200,6800,12240,12240,13600,20400,13600,17680,11560,22440,10200
フード,逸品料理,揚げ出し豆腐,00000000207,680,226,153680,0,9,12,12,9,29,35,26,27,28,24,15,0,6120,8160,8160,6120,19720,23800,17680,18360,19040,16320,10200
ドリンク,サワー,シークワーサーサワー,00000000114,430,343,150790,9,19,11,29,27,32,46,21,35,42,64,8,3870,8170,4730,12470,11610,13760,19780,9350,15750,18900,28800,3600
フード,サラダ,ホタテといくらのカルパッチョ,00000000429,1000,143,150600,0,0,0,0,0,0,18,26,30,36,20,13,0,0,0,0,0,0,18000,26000,30000,36000,22660,17940
フード,サラダ,カリカリ豚のオレンジ風味サラダ,00000000221,800,196,143290,1,5,12,25,10,14,22,18,12,35,29,13,800,4000,10480,22000,8800,11220,17160,14040,9360,20650,17110,7670
フード,刺身,桜ユッケ,00000000436,780,181,141180,0,0,0,0,0,7,25,27,47,27,35,13,0,0,0,0,0,5460,19500,21060,36660,21060,27300,10140
フード,おつまみ,タコわさび,00000000022,450,305,137250,1,10,8,11,20,45,41,42,52,27,32,16,450,4500,3600,4950,9000,20250,18450,18900,23400,12150,14400,7200
ドリンク,ハイボール,博多ハイボール,00000000352,430,319,137170,2,23,54,36,29,28,40,29,28,26,18,6,860,9890,23220,15480,12470,12040,17200,12470,12040,11180,7740,2580
フード,逸品料理,蒸しエビ餃子,00000000423,630,217,136710,0,0,0,0,0,24,40,41,38,34,28,12,0,0,0,0,0,15120,25200,25830,23940,21420,17640,7560
フード,逸品料理,モツ煮,00000000203,680,199,135320,4,11,14,15,32,11,24,10,17,26,23,12,2720,7480,9520,10200,21760,7480,16320,6800,11560,17680,15640,8160
ドリンク,ハイボール,山崎プレミアムハイボール,00000000106,1080,125,135000,0,10,2,21,13,2,52,3,7,3,5,7,0,10800,2160,22680,14040,2160,56160,3240,7560,3240,5400,7560
フード,サラダ,マクロの山かけ,00000000225,780,194,132820,1,7,10,27,26,19,18,21,24,21,9,11,780,5460,6900,18360,17680,12920,12240,14280,16320,14280,6120,7480
フード,おつまみ,梅水晶,00000000023,450,295,132750,4,17,9,16,32,29,39,33,49,30,25,12,1800,7650,4050,7200,14400,13050,17550,14850,22050,13500,11250,5400
フード,サラダ,パリパリチーズ,00000000428,600,219,131400,0,0,0,0,0,13,42,56,46,42,17,3,0,0,0,0,0,7800,25200,33600,27600,25200,10200,1800
フード,おつまみ,アボカド刺し,00000000028,420,310,130200,5,15,19,17,27,40,28,45,44,34,23,13,2100,6300,7980,7140,11340,16800,11760,18900,18480,14280,9660,5460
ドリンク,サワー,すりおろし白桃サワー,00000000118,430,284,126360,0,6,4,10,14,8,19,40,49,52,55,27,0,2580,1720,4300,6020,3440,8170,17780,22050,23400,24750,12150
フード,サラダ,タコとトマトの大葉マリネ,00000000460,890,138,122820,0,0,0,0,0,0,0,0,13,60,51,14,0,0,0,0,0,0,0,0,11570,53400,45390,12460
フード,焼き物,焼き鳥五点盛り合わせ,00000000039,680,178,121040,6,17,11,30,34,17,14,6,9,14,13,7,4080,11560,7480,20400,23120,11560,9520,4080,6120,9520,8840,4760
フード,サラダ,甘辛だれのズッキーニ肉,00000000222,780,140,121000,3,8,11,28,26,16,2,7,12,10,11,6,2340,6240,8580,21840,20280,14680,1960,6860,11760,9800,10780,5880
フード,おつまみ,枝豆,00000000182,380,311,118180,6,31,23,34,28,31,29,28,46,25,20,10,2280,11780,8740,12920,10640,11780,11020,10640,17480,9500,7600,3800
ドリンク,梅酒,南高梅酒,00000000130,450,259,116550,7,4,4,11,14,10,14,36,41,34,59,25,3150,1800,1800,4950,6300,4500,6300,16200,18450,15300,26550,11250
ドリンク,ハイボール,白州ハイボール,00000000107,1080,104,112320,0,4,3,19,12,3,10,24,11,2,10,6,0,4320,3240,20520,12960,3240,10800,25920,11880,2160,10800,6480
ドリンク,日本酒,獺祭,00000000128,780,143,111540,1,16,1,14,11,28,31,8,7,18,5,3,780,12480,780,10920,8580,21840,24180,6240,5460,14040,3900,2340
ドリンク,ソフトドリンク,マンゴージュース,00000000169,350,306,111300,7,11,14,32,41,33,25,27,27,45,31,13,2450,3850,9100,11200,14350,11550,8750,9450,9450,15750,10850,4550
フード,逸品料理,ソーセージ盛り合わせ,00000000421,680,163,110840,0,0,0,0,0,25,29,35,20,22,18,14,0,0,0,0,0,17000,19720,23800,13600,14960,12240,9520
ドリンク,ビール,ハッピーアワー,00000000367,280,385,109720,0,0,0,43,71,43,81,33,43,20,22,29,0,0,0,13960,19880,12040,22680,9240,12040,5600,6160,8120
フード,揚げ物,タコ唐揚げ,00000000201,660,163,107580,5,14,16,25,33,7,15,17,9,9,9,4,3300,9240,10560,16500,21780,4620,9900,11220,5940,5940,5940,2640
ドリンク,サワー,スイカサワー,00000000415,480,221,103240,0,0,0,0,12,55,57,38,14,32,13,0,0,0,0,0,5520,25300,26220,17880,6720,15360,6240,0
ドリンク,サワー,タコハイ,00000000112,430,235,102570,0,50,20,15,13,40,17,11,18,12,22,17,0,21500,8600,6450,5590,17200,7310,4870,8100,5400,9900,7650
フード,食事,エビチャーハン,00000000214,780,130,101400,3,9,15,15,22,11,14,11,10,8,3,9,2340,7020,11700,11700,17160,8580,10920,8580,7800,6240,2340,7020
フード,おつまみ,長芋ワサビ漬け,00000000218,560,180,100800,4,11,9,18,39,17,19,21,18,5,17,2,2240,6160,5040,10080,21840,9520,10640,11760,10080,2800,9520,1120
ドリンク,サワー,白桃サワー,00000000115,430,230,100260,1,23,14,27,26,33,32,20,25,12,13,4,430,9890,6020,11610,11180,14190,13760,8880,11250,5400,5850,1800
ドリンク,ソフトドリンク,ジンジャーエール,00000000167,350,283,99050,2,9,17,23,21,38,40,34,39,28,20,12,700,3150,5950,8050,7350,13300,14000,11900,13650,9800,7000,4200
