month_num,category,delta_sales_per_customer,volume_effect,price_effect,sales_per_customer_2024,sales_per_customer_2025
11,トッピング,9.96,4.98,4.98,0.0,9.96
11,TOトッピング,-31.44,-63.99,32.57,34.02,2.58
11,ごちめし,-30.45,-15.23,-15.23,30.45,0.0
11,その他,0.44,0.22,0.22,0.0,0.44
11,セット,21.98,10.99,10.99,0.0,21.98
11,アラカルト,56.79,28.4,28.4,0.0,56.79
11,麺,-1062.1,-531.07,-531.07,1062.1,0.0
11,追い肉,9.97,4.99,4.99,0.0,9.97
11,TOドリンク,-43.8,-57.6,13.79,45.45,1.65
11,アルコール,74.88,37.44,37.44,0.0,74.88
12,無料,0.0,-0.0,0.0,0.0,0.0
12,ソフトドリンク,2.65,1.32,1.32,0.0,2.65
12,定食,959.97,479.96,479.96,0.0,959.97
12,単品,36.84,18.42,18.42,0.0,36.84
12,期間限定フェア,548.92,274.45,274.45,0.0,548.92
12,トッピング,9.98,4.99,4.99,0.0,9.98
12,TOトッピング,-29.33,-60.27,30.93,31.1,1.77
12,ごちめし,-24.5,-12.25,-12.25,24.5,0.0
12,その他,-46.19,-18.43,-27.82,46.43,0.24
12,セット,23.52,11.76,11.76,0.0,23.52
12,アラカルト,49.42,24.71,24.71,0.0,49.42
12,麺,-1161.32,-580.66,-580.66,1161.32,0.0
12,追い肉,11.41,5.71,5.71,0.0,11.41
12,TOドリンク,-36.66,-54.4,17.71,37.57,0.91
12,アルコール,71.38,35.68,35.68,0.0,71.38
