month_num,product,delta_sales_per_customer,sales_per_customer_2024,sales_per_customer_2025
3,トリプルコンボ定食,0.0,0.0,0.0
3,枝豆,0.0,0.0,0.0
3,しる・グリルチキン,-199.12,199.12,0.0
3,メロンソーダ,0.0,0.0,0.0
3,肉専用キャベツ,0.0,0.0,0.0
3,TO ねぎマヨ,0.0,0.0,0.0
3,無料【追い肉】スマッシュバーグ,0.0,0.0,0.0
3,【肉の日】ビフスマ定食,0.0,0.0,0.0
3,サンペレグリノ アランチャーター,-2.2,2.2,0.0
3,【単品】ライス,0.0,0.0,0.0
3,無料：ごち飯小セット,0.0,0.0,0.0
3,レモンサワー,0.0,0.0,0.0
3,てりたまスマッシュバーグ定食,0.0,0.0,0.0
3,にんにく,-0.25,0.25,0.0
3,ごちめし(大盛),-0.21,0.21,0.0
3,フライドチキン,0.0,0.0,0.0
3,ビフテキ定食 LL,0.0,0.0,0.0
3,ブロッコリー,-1.97,1.97,0.0
3,アサヒ スーパードライ 生ビール,-15.13,15.13,0.0
3,オニオンリングフライ,0.0,0.0,0.0
3,ビッグサイズ ほぼ倍生ビール,-12.45,12.45,0.0
3,アイスコーヒー,0.0,0.0,0.0
3,半熟目玉焼き,-0.08,0.08,0.0
3,ごちめしセット(大盛),-2.36,2.36,0.0
3,【OPEN】スマチキ定食,0.0,0.0,0.0
3,持ち帰り容器,-0.01,0.01,0.0
3,ビフテキ定食 M,0.0,0.0,0.0
3,半熟玉子焼,0.0,0.0,0.0
3,しる・パクチー,-69.59,69.59,0.0
3,無料：ごち飯大セット,0.0,0.0,0.0
3,ウーロンハイ,0.0,0.0,0.0
3,マヨネーズ,-0.01,0.01,0.0
3,ローストビーフのまぜそば,-88.29,88.29,0.0
3,ドリンクセット,0.0,0.0,0.0
3,グリルチキンのまぜそば,-337.95,337.95,0.0
3,【OPEN】ビフテキ定食,0.0,0.0,0.0
3,【単品】スマッシュバーグ,0.0,0.0,0.0
3,ビッグサイズ ほぼ倍ハイボール,-6.2,6.2,0.0
3,無料【追い肉】ビフテキ,0.0,0.0,0.0
3,白ワイン,0.0,0.0,0.0
3,チーズチキテキ定食,0.0,0.0,0.0
3,ビフテキ定食 L,0.0,0.0,0.0
3,チーズスマッシュバーグ定食,0.0,0.0,0.0
3,【単品】スープ,0.0,0.0,0.0
3,ウーロン茶,0.0,0.0,0.0
3,生ビール,0.0,0.0,0.0
3,スパイシーポークのまぜそば,-100.71,100.71,0.0
3,ねぎマヨチキテキ定食,0.0,0.0,0.0
3,野菜増し,-5.64,5.64,0.0
3,チーズ,-1.34,1.34,0.0
3,半熟卵のシーザーまぜそば,-108.8,108.8,0.0
3,単品ローストビーフ,-4.41,4.41,0.0
3,ライス大盛に変更,0.0,0.0,0.0
3,おろしにんにく,0.0,0.0,0.0
3,トマト＆オニオン,-0.95,0.95,0.0
3,【追い肉】スマッシュバーグ,0.0,0.0,0.0
3,スマッシュバーグ定食,0.0,0.0,0.0
3,ハイボール,0.0,0.0,0.0
3,ごちめし(並盛),-0.16,0.16,0.0
3,【追い肉】ビフテキ,0.0,0.0,0.0
3,なっちゃんオレンジ,0.0,0.0,0.0
3,カップスープ,-1.37,1.37,0.0
3,【単品】チキテキ,0.0,0.0,0.0
3,和えそば,-5.73,5.73,0.0
3,シリシリ,-0.37,0.37,0.0
3,ほぼ倍 コークハイ,0.0,0.0,0.0
3,生卵,-2.18,2.18,0.0
3,ねぎたま,-10.48,10.48,0.0
3,ねぎじゃこ,-0.87,0.87,0.0
3,無料：ごち飯並セット,0.0,0.0,0.0
3,ほぼ倍 ウーロンハイ,0.0,0.0,0.0
3,ほぼ倍サイズ 生ビール,0.0,0.0,0.0
3,黒ウーロン茶,-0.72,0.72,0.0
3,ビフスマ定食,0.0,0.0,0.0
3,メガクランチポテト,0.0,0.0,0.0
3,パクチー,-4.34,4.34,0.0
4,ビフチキ定食,175.34,0.0,175.34
4,無料：チーズ,0.0,0.0,0.0
4,キティ,0.24,0.0,0.24
4,その他 190,0.02,0.0,0.02
4,赤ワイン,4.86,0.0,4.86
4,どっさりチーズ,1.27,0.0,1.27
4,海老マヨwithブロッコリー,2.12,0.0,2.12
4,ブラックニッカ ハイボール,-1.87,1.87,0.0
4,コークハイ,0.44,0.0,0.44
4,単品スパイシーポーク,-0.16,0.16,0.0
4,スマチキ定食,20.28,0.0,20.28
4,ほぼ倍 ジンジャーハイ,0.44,0.0,0.44
4,チキテキ定食,17.94,0.0,17.94
4,【無料】肉専用キャベツ,0.0,0.0,0.0
4,野菜炒め,0.87,0.0,0.87
4,シャンディガフ,0.71,0.0,0.71
4,スパイスチキテキ定食,5.98,0.0,5.98
4,その他 50,0.03,0.0,0.03
4,ほぼ倍 レモンサワー,1.94,0.0,1.94
4,【無料】ハイボール,0.0,0.0,0.0
4,コカ・コーラ,-3.43,3.43,0.0
4,ねぎマヨ,0.26,0.0,0.26
4,【OPEN】ビフテキ定食 M,89.4,0.0,89.4
