取引No,元取引No,取引日,取引時間,来店日,来店時間,店舗番号,店舗名,取引種別,レジ番号,レジ担当者番号,レジ担当者名,商品名,バリエーション種別1,バリエーション種別2,販売単位,商品単価,販売分量,商品数,商品合計金額,割引・割増,個別割引・割増金額,単位,個別割引・割増数,個別割引・割増合計金額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額,小計数,小計,外税額,カスタム割引・割増,端数値引,割引調整,合計,内消費税,合計（10%標準）,内消費税（10%標準）,合計（8%標準）,内消費税（8%標準）,合計（8%軽減）,内消費税（8%軽減）,合計（非課税）,クレジットカード(Airペイ タッチ),クレジットカード(Airペイ),現金,iD(Airペイ),交通系電子マネー(Airペイ),UnionPay 銀聯(Airペイ),ポイント(ホットペッパーグルメ),QUICPay(Airペイ),QR決済(Airペイ QR),スマート支払い(ホットペッパーグルメ),QR決済(Airペイ),クレジットカード(オンライン決済),クレジットカード(モバイルオーダー 店外版),ポイント(Airペイ ポイント),クレジットカード/電子マネー(Square),Pontaポイント/リクルートポイント,Apple Pay(Airペイ),お預り金額,おつり金額
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,冷奴,,,,380,,1,380,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103175759501,,2025/01/03,19:06:36,2025/01/03,17:57:47,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,会津中将,,,,1000,,1,1000,,0,-,0,0,,0,0,0,0,17,7580,758,0,0,0,8338,758,8338,758,0,0,0,0,0,0,0,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,2012
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,お通し,男性,,,300,,3,900,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,お通し,女性,,,300,,3,900,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,飲み放題,飲み放題2H,,,2000,,6,12000,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,フリードリンク,生ビール,,,0,,2,0,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,フリードリンク,ジャスミンハイ,,,0,,8,0,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,フリードリンク,芋【ソーダ割り】,,,0,,2,0,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,フリードリンク,グレフルサワー,,,0,,3,0,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,のりチーズ,,,,280,,5,1400,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,えのき肉巻き,,,,280,,2,560,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,えびしそチーズおろしポン酢,,,,300,,2,600,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
HD0020250103171150888,,2025/01/03,19:19:12,2025/01/03,17:10:20,AKR4846942161,串焼きかめや宇都宮駅前店,会計,0001,0003,生田目優衣,うずら肉巻き串,,,,220,,1,220,,0,-,0,0,,0,0,0,0,70,24250,2425,0,0,0,26675,2425,26675,2425,0,0,0,0,0,0,0,27005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27005,330
