予約受付日,ステータス,予約経路,AIR店舗ID,店舗コード,店舗名,来店日,開始時間,終了時間,コース名,コース金額,利用ポイント,人数,ネット予約フラグ,テーブル,予約依頼番号,発行ポイント,要望,メモ,キーワード,スマート支払い利用有無,決済確定金額
20250907 11:14:43,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1130,1300,,,,2,,A5,,,,,,,
20250907 11:31:08,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1130,1300,,,,4,,B4,,,,,,,
20250907 12:32:07,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1230,1400,,,,2,,B2,,,,,,,
20250907 12:56:44,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1305,1435,,,,2,,A3,,,,,,,
20250907 14:49:01,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1455,1625,,,,3,,A5,,,,,,,
20250907 15:37:50,退店,ホットペッパー グルメ,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1600,1730,お席のみのご予約,,,2,HPG即,B4,SCT709856,100,,,,,
20250907 17:38:54,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1815,1945,,,,4,,A3,,,,萌,,,
20250907 18:04:13,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1800,1930,,,,4,,B3,,,,,,,
20250907 18:08:37,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1805,1935,,,,2,,A1,,,,,,,
20250907 18:12:49,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1810,1940,,,,4,,B1,,,,,,,
20250907 18:14:33,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1810,1940,,,,2,,B2,,,,,,,
20250907 18:15:09,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1815,1945,,,,2,,A4,,,,,,,
20250907 18:26:13,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,2045,2215,,,,2,,A5,,,,,,,
20250907 18:33:47,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1830,2000,,,,2,,A5,,,,,,,
20250907 18:56:19,貴店キャンセル,ネット予約（食べログ）,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1930,2100,,,,6,,未割り当て,,,,"コース          ：お席のみのご予約
ご要望          ：
",,,
20250907 19:05:41,貴店キャンセル,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,2020,2150,,,,8,,"A3, A4",,,,,,,
20250907 19:16:59,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,2015,2145,,,,6,,"B2, B3",,,,,,,
20250907 19:29:00,退店,,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,2010,2140,,,,3,,A1,,,,,,,
20250907 19:41:58,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1940,2110,,,,8,,"A3, A4, A5",,,,,,,
20250907 19:57:58,退店,直接来店,AKR9200744295,H000550388,韓国屋台ポックンパ　ネネチキン　東岡崎店,20250907,1955,2125,,,,2,,B1,,,,,,,
