week,menu_name,subtotal,quantity,構成比
2025-W51,ハウスハイボール,40300.0,31,3.3219305114783824
2025-W51,本わさびジンソニック,16200.0,9,1.3353666075918065
2025-W51,竹鶴,10200.0,6,0.8407863825578041
2025-W51,白州,5400.0,3,0.44512220253060214
2025-W52,tablecharge,65500.0,147,6.4941503073567315
2025-W52,本わさびジンソニック,38200.0,21,3.787428118183621
2025-W52,ハウスハイボール,23400.0,18,2.3200475907198097
2025-W52,白州,3600.0,2,0.3569303985722784
2025-W52,竹鶴,3400.0,2,0.33710093198492963
2026-W01,tablecharge,45500.0,91,10.217830675948798
2026-W01,本わさびジンソニック,9000.0,5,2.021109364473389
2026-W01,白州,7200.0,4,1.6168874915787108
2026-W01,ハウスハイボール,5200.0,4,1.1677520772512913
2026-W02,tablecharge,26000.0,52,5.006739842095128
2026-W02,ハウスハイボール,14300.0,11,2.75370691315232
2026-W02,白州,3600.0,2,0.6932409012131715
2026-W02,本わさびジンソニック,1800.0,1,0.34662045060658575
2026-W02,竹鶴,1700.0,1,0.3273637589062199
2026-W02,アードベック 10年,1600.0,1,0.308107067205854
2026-W03,tablecharge,42500.0,85,5.423685553854007
2026-W03,本わさびジンソニック,25200.0,15,3.215926493108729
2026-W03,ハウスハイボール,15600.0,12,1.9908116385911179
2026-W03,竹鶴,3400.0,2,0.4338948443083206
2026-W03,アードベック 10年,1600.0,1,0.20418580908626852
2026-W04,tablecharge,38500.0,77,6.330154554422887
2026-W04,ハウスハイボール,13000.0,10,2.1374547846103256
2026-W04,本わさびジンソニック,9000.0,5,1.47977638934561
2026-W04,白州,4200.0,2,0.6905623150279513
2026-W04,アードベック 10年,1600.0,1,0.2630713581058862
2026-W05,tablecharge,53500.0,107,8.029416178898394
2026-W05,ハウスハイボール,15600.0,12,2.341287708239532
2026-W05,本わさびジンソニック,14400.0,8,2.1611886537595675
2026-W05,竹鶴,3400.0,2,0.510280654359898
2026-W05,アードベック 10年,3200.0,2,0.48026414527990396
2026-W06,本わさびジンソニック,102300.0,56,19.78340746470702
2026-W06,tablecharge,46000.0,92,8.895764842390253
2026-W06,ハウスハイボール,14300.0,11,2.7654225488300135
2026-W06,竹鶴,6800.0,4,1.3150261071359506
2026-W06,アードベック 10年,1600.0,1,0.3094179075614001
2026-W07,tablecharge,37000.0,78,6.174899866488651
2026-W07,ハウスハイボール,18200.0,14,3.0373831775700935
2026-W07,本わさびジンソニック,16200.0,9,2.7036048064085447
2026-W08,tablecharge,38000.0,76,4.958246346555324
2026-W08,ハウスハイボール,31200.0,24,4.07098121085595
2026-W08,本わさびジンソニック,9000.0,5,1.174321503131524
2026-W08,アードベック 10年,1600.0,1,0.20876826722338201
2026-W09,tablecharge,46000.0,92,5.555555555555555
2026-W09,ハウスハイボール,32500.0,25,3.92512077294686
2026-W09,本わさびジンソニック,16200.0,9,1.956521739130435
2026-W09,白州,3600.0,2,0.43478260869565216
2026-W09,アードベック 10年,3200.0,2,0.3864734299516908
2026-W10,tablecharge,25500.0,51,6.283883686545096
2026-W10,ハウスハイボール,18200.0,14,4.4849679645145395
2026-W10,本わさびジンソニック,1800.0,1,0.44356826022671264
2026-W10,白州,1800.0,1,0.44356826022671264
2026-W10,アードベック 10年,1600.0,1,0.39428289797930016
2026-W11,tablecharge,34500.0,69,6.195008080445322
2026-W11,ハウスハイボール,19500.0,15,3.501526306338661
2026-W11,本わさびジンソニック,9000.0,5,1.6160890644639971
2026-W11,白州,7200.0,4,1.2928712515711978
2026-W11,竹鶴,1700.0,1,0.30526126773208834
2026-W12,ハウスハイボール,57200.0,44,5.691542288557214
2026-W12,tablecharge,54000.0,108,5.3731343283582085
2026-W12,本わさびジンソニック,10800.0,6,1.0746268656716418
2026-W12,グレンリベット18年,2600.0,1,0.25870646766169153
2026-W12,アードベック 10年,1600.0,1,0.15920398009950248
2026-W13,tablecharge,43500.0,87,7.825148407987048
2026-W13,ハウスハイボール,33800.0,26,6.080230257240511
2026-W13,アードベック 10年,12800.0,8,2.3025724051088323
2026-W13,本わさびジンソニック,10800.0,6,1.9427954668105774
2026-W13,白州,3600.0,2,0.6475984889368591
2026-W13,竹鶴,3400.0,2,0.6116207951070336
2026-W14,tablecharge,45500.0,80,7.099391480730223
2026-W14,森のジントニック,39000.0,26,6.085192697768763
2026-W14,ハウスハイボール,12000.0,10,1.8723669839288501
2026-W14,ローズガーデン,9000.0,6,1.4042752379466374
2026-W14,焙煎ファッションド,7600.0,4,1.1858324231549384
2026-W14,トロピカルヴェール,6000.0,4,0.9361834919644251
2026-W14,ゆずマティーニ,5700.0,3,0.8893743173662036
2026-W14,サンセットソルティドッグ,4500.0,3,0.7021376189733187
2026-W14,撫子ネグローニ,3800.0,2,0.5929162115774692
2026-W14,ワカモレチップス,3600.0,3,0.561710095178655
2026-W14,ベルガモットモスコミュール,3000.0,2,0.46809174598221254
2026-W14,アードベック 10年,1600.0,1,0.24964893119051335
2026-W15,tablecharge,59900.0,102,14.710216110019648
2026-W15,ハウスハイボール,36000.0,30,8.840864440078585
2026-W15,ゆずマティーニ,21000.0,10,5.157170923379175
2026-W15,森のジントニック,18000.0,13,4.4204322200392925
2026-W15,焙煎ファッションド,17100.0,9,4.199410609037328
2026-W15,ワカモレチップス,12000.0,10,2.9469548133595285
2026-W15,ローズガーデン,10500.0,7,2.5785854616895874
2026-W15,サンセットソルティドッグ,4500.0,3,1.1051080550098231
2026-W15,トロピカルヴェール,4500.0,3,1.1051080550098231
2026-W15,撫子ネグローニ,3800.0,2,0.9332023575638507
2026-W15,ベルガモットモスコミュール,3000.0,2,0.7367387033398821
2026-W16,7000円飲み放題付（3時間制）,182000.0,26,24.815925824925007
2026-W16,ハウスハイボール,88800.0,74,12.107990182710662
2026-W16,森のジントニック,39000.0,26,5.317698391055359
2026-W16,tablecharge,27600.0,46,3.7632942459776384
2026-W16,5000円飲み放題付（2時間制）,10000.0,2,1.3635124079629124
2026-W16,撫子ネグローニ,9500.0,5,1.2953367875647668
2026-W16,ワカモレチップス,7200.0,6,0.9817289337332971
2026-W16,トロピカルヴェール,6000.0,4,0.8181074447777474
2026-W16,ベルガモットモスコミュール,4500.0,3,0.6135805835833106
2026-W16,ゆずマティーニ,3800.0,2,0.5181347150259068
2026-W16,焙煎ファッションド,3800.0,2,0.5181347150259068
2026-W16,サンセットソルティドッグ,3000.0,2,0.4090537223888737
2026-W16,ローズガーデン,1500.0,1,0.20452686119443686
2026-W17,tablecharge,51800.0,87,7.026587086272381
2026-W17,ハウスハイボール,45600.0,38,6.185567010309279
2026-W17,森のジントニック,25500.0,17,3.4590341833966356
2026-W17,ベルガモットモスコミュール,12000.0,8,1.6277807921866523
2026-W17,焙煎ファッションド,11400.0,6,1.5463917525773196
2026-W17,トロピカルヴェール,10500.0,7,1.4243081931633208
2026-W17,ワカモレチップス,7200.0,6,0.9766684753119913
2026-W17,サンセットソルティドッグ,4500.0,3,0.6104177970699945
2026-W17,撫子ネグローニ,3800.0,2,0.5154639175257731
2026-W17,ローズガーデン,3000.0,2,0.40694519804666307
2026-W17,ゆずマティーニ,1900.0,1,0.25773195876288657
2026-W18,tablecharge,55500.0,97,6.832585647384412
2026-W18,7000円飲み放題付（3時間制）,49000.0,7,6.032372913906959
2026-W18,ハウスハイボール,28800.0,24,3.545557957561641
2026-W18,5000円飲み放題付（2時間制）,20000.0,4,2.462193026084473
2026-W18,本わさびジンソニック,18000.0,10,2.2159737234760257
2026-W18,CLPコース_その他,16500.0,3,2.0313092465196902
2026-W18,森のジントニック,16500.0,11,2.0313092465196902
2026-W18,ベルガモットモスコミュール,15000.0,10,1.8466447695633548
2026-W18,ワカモレチップス,14400.0,12,1.7727789787808206
2026-W18,焙煎ファッションド,7600.0,4,0.9356333499120998
2026-W18,サンセットソルティドッグ,6000.0,4,0.7386579078253418
2026-W18,ゆずマティーニ,5700.0,3,0.7017250124340748
2026-W18,アードベック 10年,4800.0,3,0.5909263262602735
2026-W18,撫子ネグローニ,3800.0,2,0.4678166749560499
2026-W18,トロピカルヴェール,3000.0,2,0.3693289539126709
2026-W18,ローズガーデン,3000.0,2,0.3693289539126709
2026-W18,白州,1800.0,1,0.22159737234760257
2026-W19,tablecharge,35200.0,59,15.120274914089347
2026-W19,撫子ネグローニ,11400.0,6,4.896907216494846
2026-W19,トロピカルヴェール,10500.0,7,4.510309278350515
2026-W19,ベルガモットモスコミュール,10500.0,7,4.510309278350515
2026-W19,森のジントニック,10500.0,7,4.510309278350515
2026-W19,ローズガーデン,9000.0,6,3.865979381443299
2026-W19,ハウスハイボール,8400.0,7,3.608247422680412
2026-W19,ゆずマティーニ,7600.0,4,3.264604810996564
2026-W19,ワカモレチップス,6000.0,5,2.5773195876288657
2026-W19,アードベック 10年,3200.0,2,1.3745704467353952
2026-W19,サンセットソルティドッグ,3000.0,2,1.2886597938144329
2026-W20,CLPコース_その他,110000.0,20,19.07404196289232
2026-W20,tablecharge,45500.0,76,7.889717357378186
2026-W20,ハウスハイボール,19200.0,16,3.329287324432114
2026-W20,焙煎ファッションド,19000.0,10,3.294607248135946
2026-W20,森のジントニック,18000.0,12,3.1212068666551067
2026-W20,トロピカルヴェール,13500.0,9,2.34090514999133
2026-W20,ベルガモットモスコミュール,12000.0,8,2.080804577770071
2026-W20,ワカモレチップス,8400.0,7,1.4565632044390497
2026-W20,サンセットソルティドッグ,7500.0,5,1.3005028611062945
2026-W20,ローズガーデン,7500.0,5,1.3005028611062945
2026-W20,白州,7200.0,4,1.2484827466620427
2026-W20,アードベック 10年,6400.0,4,1.1097624414773712
2026-W20,竹鶴,3400.0,2,0.5895612970348535
2026-W20,ゆずマティーニ,1900.0,1,0.3294607248135946
2026-W21,CLPコース_その他,261500.0,58,17.433333333333334
2026-W21,5000円飲み放題付（2時間制）,80000.0,16,5.333333333333334
2026-W21,tablecharge,66500.0,111,4.433333333333334
2026-W21,ハウスハイボール,40800.0,34,2.7199999999999998
2026-W21,7000円飲み放題付（3時間制）,28000.0,4,1.866666666666667
2026-W21,森のジントニック,22500.0,15,1.5
2026-W21,ゆずマティーニ,19000.0,10,1.2666666666666666
2026-W21,トロピカルヴェール,13500.0,9,0.8999999999999999
2026-W21,撫子ネグローニ,11400.0,6,0.76
2026-W21,ローズガーデン,10500.0,7,0.7000000000000001
2026-W21,ワカモレチップス,9600.0,8,0.64
2026-W21,焙煎ファッションド,7600.0,4,0.5066666666666666
2026-W21,サンセットソルティドッグ,7500.0,5,0.5
2026-W21,ベルガモットモスコミュール,4500.0,3,0.3
2026-W21,本わさびジンソニック,1800.0,1,0.12
2026-W21,白州,1800.0,1,0.12
2026-W21,アードベック 10年,1600.0,1,0.10666666666666667
2026-W22,7000円飲み放題付（3時間制）,49000.0,7,11.090991398822997
2026-W22,tablecharge,46200.0,77,10.457220461747397
2026-W22,森のジントニック,39000.0,26,8.82752376641014
2026-W22,5000円飲み放題付（2時間制）,30000.0,6,6.790402897238569
2026-W22,ワカモレチップス,12000.0,10,2.7161611588954275
2026-W22,ゆずマティーニ,9500.0,5,2.1502942507922134
2026-W22,トロピカルヴェール,9000.0,6,2.0371208691715705
2026-W22,ベルガモットモスコミュール,9000.0,6,2.0371208691715705
2026-W22,焙煎ファッションド,7600.0,4,1.7202354006337708
2026-W22,ローズガーデン,7500.0,5,1.6976007243096423
2026-W22,ハウスハイボール,7200.0,6,1.6296966953372567
2026-W22,サンセットソルティドッグ,6000.0,4,1.3580805794477138
2026-W22,撫子ネグローニ,3800.0,2,0.8601177003168854
2026-W23,CLPコース_その他,360000.0,20,44.89337822671156
2026-W23,7000円飲み放題付（3時間制）,84000.0,12,10.475121586232698
2026-W23,CLPコース_7000円飲み放題付（3時間制）,77000.0,11,9.602194787379972
2026-W23,tablecharge,43800.0,73,5.4620276842499065
2026-W23,5000円飲み放題付（2時間制）,40000.0,8,4.9881531363012845
2026-W23,本わさびジンソニック,28800.0,16,3.5914702581369253
2026-W23,アードベック 10年,12800.0,8,1.5962090036164112
2026-W23,ハウスハイボール,12000.0,10,1.4964459408903852
2026-W23,白州,10800.0,6,1.3468013468013467
2026-W23,ワカモレチップス,8400.0,7,1.0475121586232696
2026-W23,撫子ネグローニ,7600.0,4,0.9477490958972441
2026-W23,焙煎ファッションド,7600.0,4,0.9477490958972441
2026-W23,トロピカルヴェール,7500.0,5,0.9352787130564909
2026-W23,森のジントニック,7500.0,5,0.9352787130564909
2026-W23,ベルガモットモスコミュール,6000.0,4,0.7482229704451926
2026-W23,ローズガーデン,6000.0,4,0.7482229704451926
2026-W23,ゆずマティーニ,5700.0,3,0.710811821922933
2026-W23,グレンリベット18年,5200.0,2,0.648459907719167
2026-W23,竹鶴,5100.0,3,0.6359895248784138
2026-W23,サンセットソルティドッグ,4500.0,3,0.5611672278338945
