H.伝票番号,H.曜日,H.伝票発行日,H.テーブル番号,H.客数（合計）,H.小計,D.オーダー番号,D.商品カテゴリ1,D.商品カテゴリ2,D.帳票集計対象商品,D.商品,D.価格,D.数量,D.オーダー担当者,D.オーダー日時,D.オーダーキャンセル担当者,D.オーダーキャンセル日時,D.オーダーステータス
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,10,ドリンク,サワー,Yes,00000000113:レモンサワー,450,1,0104:アルバイト,2025/08/01 17:49:19,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,11,フード,サラダ,Yes,00000000363:エビマヨ,880,1,0103:社員,2025/08/01 18:02:21,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,12,フード,刺身,Yes,00000000185:マグロ,680,1,0103:社員,2025/08/01 18:05:34,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,13,フード,逸品料理,Yes,00000000208:手作り小籠包,630,1,0103:社員,2025/08/01 18:05:34,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,14,ドリンク,サワー,Yes,00000000113:レモンサワー,450,1,0102:店長,2025/08/01 18:08:15,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,15,ドリンク,サワー,Yes,00000000113:レモンサワー,450,1,0102:店長,2025/08/01 18:08:15,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,16,フード,サラダ,Yes,00000000445:サーモンといくらの冷パスタ,1580,1,0103:社員,2025/08/01 18:46:55,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,17,ドリンク,サワー,Yes,00000000113:レモンサワー,450,1,0103:社員,2025/08/01 18:46:55,, ,20:配膳済
No:202500100002565,金,2025/08/01 17:39:34,000000002:T2,2,12026,18,ドリンク,サワー,Yes,00000000113:レモンサワー,450,1,0103:社員,2025/08/01 18:46:55,, ,20:配膳済
No:202500100002566,金,2025/08/01 18:02:12,000000006:T6,6,22800,1,コース,コース,Yes,00000000408:3800円コース,3800,1,0101:オーナー,2025/08/01 18:02:12,, ,20:配膳済
No:202500100002566,金,2025/08/01 18:02:12,000000006:T6,6,22800,2,コース,コース,Yes,00000000408:3800円コース,3800,1,0101:オーナー,2025/08/01 18:02:12,, ,20:配膳済
No:202500100002566,金,2025/08/01 18:02:12,000000006:T6,6,22800,3,コース,コース,Yes,00000000408:3800円コース,3800,1,0101:オーナー,2025/08/01 18:02:12,, ,20:配膳済
No:202500100002566,金,2025/08/01 18:02:12,000000006:T6,6,22800,4,コース,コース,Yes,00000000408:3800円コース,3800,1,0101:オーナー,2025/08/01 18:02:12,, ,20:配膳済
No:202500100002566,金,2025/08/01 18:02:12,000000006:T6,6,22800,5,コース,コース,Yes,00000000408:3800円コース,3800,1,0101:オーナー,2025/08/01 18:02:12,, ,20:配膳済
No:202500100002566,金,2025/08/01 18:02:12,000000006:T6,6,22800,6,コース,コース,Yes,00000000408:3800円コース,3800,1,0101:オーナー,2025/08/01 18:02:12,, ,20:配膳済
No:202500100002567,金,2025/08/01 18:14:40,000000005:T5,2,4659,1,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 18:14:40,, ,20:配膳済
No:202500100002567,金,2025/08/01 18:14:40,000000005:T5,2,4659,2,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 18:14:40,, ,20:配膳済
No:202500100002567,金,2025/08/01 18:14:40,000000005:T5,2,4659,3,ドリンク,ハイボール,Yes,00000000102:メガ角ハイボール,960,1,0102:店長,2025/08/01 18:16:05,, ,20:配膳済
No:202500100002567,金,2025/08/01 18:14:40,000000005:T5,2,4659,4,ドリンク,ハイボール,Yes,00000000102:メガ角ハイボール,960,1,0102:店長,2025/08/01 18:16:05,, ,20:配膳済
No:202500100002567,金,2025/08/01 18:14:40,000000005:T5,2,4659,5,フード,サラダ,Yes,00000000224:しらすのパスタ,1280,1,0102:店長,2025/08/01 18:19:29,, ,20:配膳済
No:202500100002567,金,2025/08/01 18:14:40,000000005:T5,2,4659,6,フード,おつまみ,Yes,00000000023:梅水晶,450,1,0102:店長,2025/08/01 18:19:29,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,1,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 18:21:49,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,2,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 18:21:49,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,3,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 18:21:49,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,4,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 18:21:49,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,5,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 18:21:49,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,6,ドリンク,ビール,Yes,00000000097:生ビール,560,1,0103:社員,2025/08/01 18:27:06,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,7,ドリンク,ビール,Yes,00000000097:生ビール,560,1,0103:社員,2025/08/01 18:27:06,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,8,ドリンク,ビール,Yes,00000000097:生ビール,560,1,0103:社員,2025/08/01 18:27:06,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,9,ドリンク,ビール,Yes,00000000097:生ビール,560,1,0103:社員,2025/08/01 18:27:06,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,10,ドリンク,ビール,Yes,00000000097:生ビール,560,1,0104:アルバイト,2025/08/01 18:28:25,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,11,フード,逸品料理,Yes,00000000211:明太だし巻き卵,680,1,0103:社員,2025/08/01 18:32:57,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,12,フード,サラダ,Yes,00000000463:なすの南蛮漬け,590,1,0103:社員,2025/08/01 18:32:57,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,13,フード,サラダ,Yes,00000000460:タコとトマトの大葉マリネ,890,1,0103:社員,2025/08/01 18:32:57,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,14,フード,サラダ,Yes,00000000462:砂肝と胡瓜の和物,590,1,0103:社員,2025/08/01 18:32:57,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,15,ドリンク,ビール,Yes,00000000097:生ビール,560,1,0103:社員,2025/08/01 18:38:58,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,16,ドリンク,ビール,Yes,00000000097:生ビール,560,1,0103:社員,2025/08/01 18:38:58,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,17,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0103:社員,2025/08/01 18:38:58,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,18,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0103:社員,2025/08/01 18:38:58,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,19,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0104:アルバイト,2025/08/01 18:56:26,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,20,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0104:アルバイト,2025/08/01 18:56:26,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,21,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0104:アルバイト,2025/08/01 18:56:26,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,22,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0104:アルバイト,2025/08/01 19:21:34,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,23,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0104:アルバイト,2025/08/01 19:21:34,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,24,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0104:アルバイト,2025/08/01 19:21:34,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,25,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0104:アルバイト,2025/08/01 19:21:34,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,26,フード,揚げ物,Yes,00000000057:若鶏唐揚げ,560,1,0104:アルバイト,2025/08/01 19:21:34,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,27,フード,揚げ物,Yes,00000000063:ｶﾏﾝﾍﾞｰﾙﾁｰｽﾞﾌﾗｲ,580,1,0104:アルバイト,2025/08/01 19:21:34,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,28,フード,サラダ,Yes,00000000461:ニラとアサリ豆板醤炒め,1100,1,0103:社員,2025/08/01 19:34:37,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,29,ドリンク,サワー,Yes,00000000415:スイカサワー,480,1,0103:社員,2025/08/01 19:34:37,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,30,フード,サラダ,Yes,00000000428:パリパリチーズ,600,1,0103:社員,2025/08/01 19:36:00,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,31,フード,サラダ,Yes,00000000428:パリパリチーズ,600,1,0103:社員,2025/08/01 19:36:00,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,32,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0103:社員,2025/08/01 19:45:39,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,33,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0103:社員,2025/08/01 19:45:39,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,34,ドリンク,サワー,Yes,00000000447:メガハイ,760,1,0103:社員,2025/08/01 19:45:39,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,35,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0102:店長,2025/08/01 20:08:25,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,36,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0102:店長,2025/08/01 20:08:25,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,37,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0102:店長,2025/08/01 20:08:25,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,38,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0102:店長,2025/08/01 20:18:51,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,39,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0102:店長,2025/08/01 20:18:51,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,40,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0103:社員,2025/08/01 20:38:45,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,41,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0103:社員,2025/08/01 20:38:45,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,42,ドリンク,ソフトドリンク,Yes,00000000167:ジンジャーエール,350,1,0104:アルバイト,2025/08/01 21:08:32,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,43,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0104:アルバイト,2025/08/01 21:08:32,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,44,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0104:アルバイト,2025/08/01 21:08:32,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,45,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0104:アルバイト,2025/08/01 21:08:32,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,46,ドリンク,サワー,Yes,00000000415:スイカサワー,480,1,0104:アルバイト,2025/08/01 21:08:32,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,47,フード,食事,Yes,00000000066:醤油焼きそば,780,1,0103:社員,2025/08/01 21:14:10,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,48,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0102:店長,2025/08/01 21:41:12,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,49,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0102:店長,2025/08/01 21:41:12,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,50,ドリンク,サワー,Yes,00000000415:スイカサワー,480,1,0102:店長,2025/08/01 21:41:12,, ,20:配膳済
No:202500100002568,金,2025/08/01 18:21:49,000000011:T11,5,28707,51,ドリンク,ハイボール,Yes,00000000101:角ハイボール,520,1,0101:オーナー,2025/08/01 21:48:28,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,1,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,2,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,3,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,4,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,5,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,6,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,7,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,8,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,9,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,10,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,11,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,12,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,13,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002569,金,2025/08/01 18:23:59,000000008:T8,14,91000,14,コース,コース,Yes,00000000411:6500円コース,6500,1,0101:オーナー,2025/08/01 18:23:59,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,1,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,2,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,3,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,4,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,5,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,6,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,7,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,8,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,9,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,10,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,11,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,12,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,13,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,14,コース,コース,Yes,00000000410:4800コース,4800,1,0101:オーナー,2025/08/01 18:32:24,, ,20:配膳済
No:202500100002570,金,2025/08/01 18:32:24,000000004:T4,14,67980,15,ドリンク,日本酒,Yes,00000000126:酔鯨,780,1,0102:店長,2025/08/01 19:05:48,, ,20:配膳済
No:202500100002571,金,2025/08/01 18:33:48,000000016:T16,2,5908,1,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 18:33:48,, ,20:配膳済
No:202500100002571,金,2025/08/01 18:33:48,000000016:T16,2,5908,2,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 18:33:48,, ,20:配膳済
No:202500100002571,金,2025/08/01 18:33:48,000000016:T16,2,5908,3,ドリンク,カクテル,Yes,00000000135:カシスウーロン,480,1,0104:アルバイト,2025/08/01 18:36:59,, ,20:配膳済
No:202500100002571,金,2025/08/01 18:33:48,000000016:T16,2,5908,4,ドリンク,サワー,Yes,00000000119:すりおろしりんごサワー,450,1,0104:アルバイト,2025/08/01 18:36:59,, ,20:配膳済
No:202500100002571,金,2025/08/01 18:33:48,000000016:T16,2,5908,5,フード,サラダ,Yes,00000000224:しらすのパスタ,1280,1,0104:アルバイト,2025/08/01 18:39:57,, ,20:配膳済
No:202500100002571,金,2025/08/01 18:33:48,000000016:T16,2,5908,6,フード,逸品料理,Yes,00000000208:手作り小籠包,630,1,0104:アルバイト,2025/08/01 18:39:57,, ,20:配膳済
No:202500100002571,金,2025/08/01 18:33:48,000000016:T16,2,5908,7,フード,揚げ物,Yes,00000000200:辛味手羽元,630,1,0104:アルバイト,2025/08/01 18:39:57,, ,20:配膳済
No:202500100002571,金,2025/08/01 18:33:48,000000016:T16,2,5908,8,フード,おつまみ,Yes,00000000026:胡瓜のたたき,380,1,0104:アルバイト,2025/08/01 18:39:57,, ,20:配膳済
No:202500100002571,金,2025/08/01 18:33:48,000000016:T16,2,5908,9,ドリンク,サワー,Yes,00000000113:レモンサワー,450,1,0102:店長,2025/08/01 20:25:59,, ,20:配膳済
No:202500100002571,金,2025/08/01 18:33:48,000000016:T16,2,5908,10,ドリンク,カクテル,Yes,00000000133:カシスオレンジ,480,1,0102:店長,2025/08/01 20:25:59,, ,20:配膳済
No:202500100002572,金,2025/08/01 18:51:45,000000012:T12,2,7000,1,コース,コース,Yes,00000000407:3500円コース,3500,1,0101:オーナー,2025/08/01 18:51:45,, ,20:配膳済
No:202500100002572,金,2025/08/01 18:51:45,000000012:T12,2,7000,2,コース,コース,Yes,00000000407:3500円コース,3500,1,0101:オーナー,2025/08/01 18:51:45,, ,20:配膳済
No:202500100002573,金,2025/08/01 18:57:02,000000014:T14,6,23375,1,フード,お通し,Yes,00000000362:お通し,380,1,0101:オーナー,2025/08/01 18:57:02,, ,20:配膳済
