取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
RB0120260411203221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW CLASSIC COCKTAIL,森のジントニック,1500,1
RB0120260411203221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRUITS COCKTAIL,ローズガーデン,1500,1
RB0120260411203221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,BAR 専用チョコレート,600,2
RB0120260411203221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR SNACKS ,オリーブ,700,1
RB0120260411215148000,2026/04/11,22:36:41,54500,54500,,,54500,,,,,,,,,,,,,,,,,,,,13,7,00:00:00,,,,,,,
RB0120260411215148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,ドリンク,1300,2
RB0120260411215148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,tablecharge,500,13
RB0120260411215148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黒板メニュー,黒板メニュー　前菜,1800,3
RB0120260411215148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,テキーラ,テキーラ,1200,6
RB0120260411215148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ウイスキー（ハイボール・ボトル・オリジナル）,ハウスハイボール,1200,21
RB0120260411215148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ソフトドリンク,ウーロン茶,800,5
RB0120260411215148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLD APPETIZERS,ワカモレチップス,1200,3
