店舗ID,営業日,会計日時,オーダー日時,会計ID,分類ID,分類名称,メニューID,メニュー名称,主副区別,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,親メニューID,親メニュー名,消費税率区分,ユーザーID
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 19:46:54,72731354,331942,飲放　果実酒,766512,ソーダ,1,0,0,0,0,1,0,,2665480,★飲放★　うぐいすとまり 鶯とろ,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:30:56,2026/02/20 19:46:54,72731354,309679,飲放　ジン・ハイボール,2665599,★飲放★　角ハイボール,0,0,0,45,42,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:56:42,2026/02/20 19:45:46,72741179,302250,お茶割り,2590356,茉莉花（お茶酒） ×ジャスミン茶,0,650,591,52,49,1,650,,,,10,line:Ua3a441ef45330a1f947042cece0669ff
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:56:42,2026/02/20 19:45:46,72741179,302250,お茶割り,774610,ICE,1,0,0,0,0,1,0,,2590356,茉莉花（お茶酒） ×ジャスミン茶,10,line:Ua3a441ef45330a1f947042cece0669ff
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:56:42,2026/02/20 19:45:46,72741179,302248,ウィスキー・ジン・リキュール,2636356,角,0,750,682,45,42,1,750,,,,10,line:Ua3a441ef45330a1f947042cece0669ff
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 20:56:42,2026/02/20 19:45:46,72741179,302248,ウィスキー・ジン・リキュール,766509,ソーダ,1,0,0,0,0,1,0,,2636356,角,10,line:Ua3a441ef45330a1f947042cece0669ff
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:51:57,2026/02/20 19:43:55,72761369,331858,3H　鮪ほほステーキ 5480,2879317,★北あかりと帆立バター焼き,0,0,0,0,0,3,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:51:57,2026/02/20 19:43:55,72761369,331858,3H　鮪ほほステーキ 5480,2879320,★河豚（フグ）の唐揚げ,0,0,0,0,0,3,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:51:57,2026/02/20 19:43:55,72761369,331858,3H　鮪ほほステーキ 5480,2879313,★黒豚冷しゃぶサラダ,0,0,0,0,0,3,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:51:57,2026/02/20 19:43:55,72761369,331857,3H　黒毛すき焼き 6480,2879896,★〆のうどん,0,0,0,0,0,3,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:51:57,2026/02/20 19:43:55,72761369,330949,2H　黒毛ステーキ 7980,2871351,★アボカドと桜海老の昆布和え,0,0,0,0,0,3,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:51:57,2026/02/20 19:43:55,72761369,331858,3H　鮪ほほステーキ 5480,2879647,★鮮魚三種盛り,0,0,0,0,0,3,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:51:57,2026/02/20 19:43:55,72761369,331858,3H　鮪ほほステーキ 5480,2879311,★和牛と雲丹の贅沢最中,0,0,0,0,0,3,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:51:57,2026/02/20 19:43:55,72761369,331858,3H　鮪ほほステーキ 5480,2879329,★蛤大根（はまぐりだいこん）,0,0,0,0,0,3,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:51:57,2026/02/20 19:43:55,72761369,331857,3H　黒毛すき焼き 6480,2879893,★黒毛和牛すき焼き,0,0,0,0,0,3,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/20,2026/02/20 21:51:57,2026/02/20 19:43:55,72761369,331855,2H　黒毛すき焼き 6480,2892778,2H　黒毛すき焼き 6480,0,0,0,0,0,3,0,,,,10,
